%	Date:	2006-06-01	Time:	02:04:02
%	Sampling frequency		[Hz]:	199000
%	Generator amplitude		[V]:	0.25600
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[EU RMS]	[EU RMS]	[EU RMS]	[EU RMS]
2.0000E+1	2.4812E+1	7.0145E+0	2.7760E-2	8.5535E-4	5.3231E-5	5.9758E-5	6.7798E-6
2.0706E+1	2.4815E+1	6.7810E+0	2.7696E-2	8.5421E-4	4.2802E-5	5.6023E-5	6.5718E-6
2.1438E+1	2.4818E+1	6.5554E+0	2.6366E-2	8.1285E-4	3.7628E-5	6.0327E-5	3.6287E-6
2.2195E+1	2.4821E+1	6.3372E+0	2.8871E-2	8.9074E-4	4.8423E-5	5.0368E-5	4.1010E-6
2.2979E+1	2.4824E+1	6.1266E+0	2.8613E-2	8.8279E-4	4.7529E-5	5.0504E-5	2.2781E-6
2.3791E+1	2.4827E+1	5.9227E+0	1.3326E-2	4.0599E-4	4.8482E-5	5.3508E-5	6.9301E-6
2.4631E+1	2.4830E+1	5.7255E+0	4.2707E-2	1.3196E-3	4.6417E-5	5.6526E-5	5.7439E-6
2.5501E+1	2.4832E+1	5.5353E+0	3.0153E-2	9.3095E-4	4.9206E-5	4.1218E-5	4.3525E-6
2.6402E+1	2.4834E+1	5.3510E+0	3.2163E-2	9.9291E-4	4.9085E-5	4.9723E-5	4.6389E-6
2.7334E+1	2.4836E+1	5.1731E+0	3.3367E-2	1.0306E-3	4.8732E-5	4.2689E-5	8.2800E-6
2.8300E+1	2.4839E+1	5.0009E+0	3.0385E-2	9.3752E-4	4.9536E-5	4.8313E-5	2.2977E-5
2.9299E+1	2.4841E+1	4.8347E+0	2.9072E-2	8.9229E-4	4.6382E-5	4.5028E-5	9.5795E-5
3.0334E+1	2.4842E+1	4.6739E+0	2.5942E-2	7.9213E-4	4.9593E-5	4.7887E-5	1.1152E-4
3.1406E+1	2.4844E+1	4.5186E+0	2.6226E-2	8.0774E-4	4.0111E-5	4.4324E-5	5.2350E-5
3.2515E+1	2.4846E+1	4.3681E+0	2.6686E-2	8.2350E-4	4.0051E-5	4.7736E-5	3.3103E-6
3.3664E+1	2.4848E+1	4.2229E+0	2.5981E-2	8.0208E-4	3.5707E-5	4.3479E-5	6.8574E-7
3.4853E+1	2.4849E+1	4.0825E+0	2.6302E-2	8.1052E-4	4.4897E-5	6.0348E-5	8.4550E-7
3.6084E+1	2.4851E+1	3.9471E+0	2.6398E-2	8.0666E-4	5.2073E-5	1.1853E-4	4.0097E-6
3.7358E+1	2.4852E+1	3.8156E+0	2.6178E-2	8.0366E-4	4.7696E-5	9.0629E-5	3.5787E-6
3.8678E+1	2.4853E+1	3.6901E+0	2.6277E-2	8.0979E-4	4.3692E-5	6.0428E-5	8.1659E-7
4.0044E+1	2.4855E+1	3.5645E+0	2.6019E-2	8.0048E-4	4.4325E-5	7.5096E-5	6.9809E-6
4.1458E+1	2.4856E+1	3.4504E+0	2.6371E-2	8.1347E-4	4.9153E-5	4.3258E-5	6.3818E-6
4.2923E+1	2.4858E+1	3.3318E+0	2.5748E-2	7.9381E-4	5.4720E-5	4.3014E-5	3.7088E-6
4.4439E+1	2.4857E+1	3.2270E+0	2.5933E-2	7.9969E-4	4.8842E-5	4.7034E-5	3.0610E-6
4.6009E+1	2.4858E+1	3.1206E+0	2.5847E-2	7.9594E-4	6.9528E-5	3.8218E-5	4.2999E-6
4.7634E+1	2.4861E+1	3.0106E+0	2.5841E-2	7.9520E-4	6.5316E-5	3.8684E-5	3.8371E-5
4.9316E+1	2.4861E+1	2.9189E+0	2.6522E-2	8.0855E-4	9.3375E-5	4.6249E-5	9.5911E-5
5.1058E+1	2.4863E+1	2.8180E+0	2.6838E-2	8.1026E-4	1.5631E-4	3.6723E-5	8.7571E-5
5.2862E+1	2.4862E+1	2.7187E+0	2.6202E-2	8.0860E-4	3.3113E-5	4.2725E-5	2.8373E-5
5.4729E+1	2.4864E+1	2.6249E+0	2.6116E-2	8.0370E-4	7.7786E-5	3.5185E-5	3.1340E-6
5.6662E+1	2.4864E+1	2.5408E+0	2.5997E-2	8.0256E-4	4.0566E-5	3.9135E-5	5.8638E-6
5.8663E+1	2.4866E+1	2.4623E+0	2.5939E-2	7.9920E-4	4.2095E-5	6.2610E-5	1.8885E-6
6.0735E+1	2.4866E+1	2.3814E+0	2.5968E-2	7.9988E-4	5.4629E-5	5.5555E-5	2.5314E-6
6.2881E+1	2.4867E+1	2.3021E+0	2.5867E-2	7.9612E-4	5.5772E-5	6.2717E-5	3.7710E-6
6.5102E+1	2.4868E+1	2.2199E+0	2.6607E-2	8.1578E-4	4.7074E-5	1.0159E-4	5.4330E-6
6.7401E+1	2.4868E+1	2.1499E+0	2.4779E-2	7.6436E-4	5.4269E-5	2.6877E-5	1.1939E-5
6.9782E+1	2.4869E+1	2.0781E+0	2.4314E-2	7.4931E-4	5.1282E-5	3.8330E-5	2.5364E-5
7.2247E+1	2.4870E+1	2.0082E+0	2.4630E-2	7.5975E-4	4.7811E-5	3.6365E-5	1.3360E-5
7.4799E+1	2.4870E+1	1.9397E+0	2.2070E-2	6.8122E-4	3.4403E-5	3.5234E-5	3.2350E-6
7.7441E+1	2.4871E+1	1.8758E+0	2.8808E-2	8.9039E-4	1.1371E-5	4.3601E-5	1.4167E-6
8.0176E+1	2.4871E+1	1.8131E+0	2.6146E-2	7.9779E-4	1.2933E-4	3.9118E-5	8.6942E-6
8.3008E+1	2.4872E+1	1.7529E+0	2.5219E-2	7.7584E-4	7.2807E-5	4.3360E-5	6.2539E-6
8.5940E+1	2.4873E+1	1.6942E+0	2.5993E-2	7.9665E-4	9.1587E-5	6.2660E-5	1.3638E-5
8.8976E+1	2.4873E+1	1.6375E+0	2.5456E-2	7.7987E-4	1.0655E-4	2.5340E-5	2.1587E-5
9.2118E+1	2.4874E+1	1.5827E+0	2.5588E-2	7.8832E-4	6.4772E-5	3.6775E-5	9.5703E-6
9.5372E+1	2.4874E+1	1.5295E+0	2.5621E-2	7.9082E-4	4.4000E-5	3.6842E-5	4.8084E-6
9.8741E+1	2.4875E+1	1.4785E+0	2.5346E-2	7.8199E-4	4.9218E-5	3.6142E-5	5.6477E-6
1.0223E+2	2.4875E+1	1.4290E+0	2.5373E-2	7.8300E-4	4.8032E-5	3.4150E-5	4.8305E-6
1.0584E+2	2.4876E+1	1.3803E+0	2.5395E-2	7.8271E-4	5.4682E-5	4.2953E-5	1.4456E-5
1.0958E+2	2.4876E+1	1.3338E+0	2.5035E-2	7.7063E-4	5.1443E-5	5.3156E-5	3.0690E-5
1.1345E+2	2.4876E+1	1.2889E+0	2.5328E-2	7.8119E-4	3.6102E-5	5.1353E-5	1.4896E-5
