%	Date:	2006-06-01	Time:	01:57:56
%	Sampling frequency		[Hz]:	199000
%	Generator amplitude		[V]:	0.085000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[EU RMS]	[EU RMS]	[EU RMS]	[EU RMS]
2.0000E+1	2.4812E+1	7.0164E+0	1.3703E-2	1.3933E-4	1.8565E-5	1.5882E-6	7.5371E-6
2.0706E+1	2.4815E+1	6.7830E+0	1.1869E-2	1.2055E-4	1.5698E-5	1.8050E-6	9.2335E-6
2.1438E+1	2.4818E+1	6.5571E+0	1.4387E-2	1.4592E-4	2.2713E-5	2.6803E-6	5.1651E-6
2.2195E+1	2.4821E+1	6.3390E+0	1.3964E-2	1.4181E-4	2.0991E-5	1.4342E-6	4.9354E-6
2.2979E+1	2.4824E+1	6.1281E+0	2.7812E-2	2.8498E-4	1.8182E-5	3.7814E-6	7.8235E-6
2.3791E+1	2.4827E+1	5.9240E+0	5.2233E-2	5.3601E-4	2.3830E-5	2.9302E-6	4.5457E-6
2.4631E+1	2.4830E+1	5.7268E+0	3.5619E-2	3.6535E-4	1.7173E-5	8.1806E-6	6.2869E-6
2.5501E+1	2.4832E+1	5.5369E+0	4.8802E-2	5.0083E-4	1.9583E-5	6.8503E-6	7.5748E-6
2.6402E+1	2.4834E+1	5.3528E+0	3.7615E-2	3.8581E-4	1.9872E-5	6.9392E-6	3.5430E-6
2.7334E+1	2.4837E+1	5.1744E+0	2.7167E-2	2.7830E-4	1.8321E-5	5.5597E-6	8.1046E-6
2.8300E+1	2.4839E+1	5.0024E+0	1.1567E-2	1.1435E-4	2.3221E-5	1.4050E-6	2.2475E-5
2.9299E+1	2.4841E+1	4.8361E+0	1.0111E-2	2.9090E-5	2.0130E-5	3.3479E-6	9.7958E-5
3.0334E+1	2.4842E+1	4.6750E+0	1.8471E-2	1.5014E-4	2.0905E-5	3.2230E-6	1.1450E-4
3.1406E+1	2.4844E+1	4.5197E+0	1.2655E-2	1.1744E-4	1.7644E-5	4.9354E-6	5.2833E-5
3.2515E+1	2.4846E+1	4.3696E+0	1.0262E-2	1.0362E-4	1.8639E-5	4.2256E-6	3.4951E-6
3.3664E+1	2.4848E+1	4.2232E+0	1.1264E-2	1.1452E-4	1.5795E-5	4.6189E-6	1.7149E-6
3.4853E+1	2.4849E+1	4.0846E+0	1.1188E-2	1.1307E-4	1.2887E-5	1.5957E-5	2.2415E-6
3.6084E+1	2.4851E+1	3.9477E+0	1.3977E-2	1.1923E-4	1.7765E-5	7.7977E-5	5.8526E-6
3.7358E+1	2.4852E+1	3.8157E+0	1.6400E-2	1.2323E-4	2.1251E-5	1.1317E-4	1.4508E-6
3.8678E+1	2.4854E+1	3.6859E+0	1.4494E-2	1.1591E-4	2.0284E-5	9.1402E-5	3.5467E-6
4.0044E+1	2.4853E+1	3.5659E+0	1.2207E-2	1.1723E-4	2.5073E-5	3.5843E-5	8.7088E-6
4.1458E+1	2.4857E+1	3.4382E+0	1.1779E-2	1.1895E-4	2.1642E-5	3.0534E-6	4.0750E-6
4.2923E+1	2.4856E+1	3.3222E+0	1.1292E-2	1.1346E-4	2.3346E-5	3.8844E-6	4.8868E-6
4.4439E+1	2.4861E+1	3.2311E+0	1.2069E-2	1.2215E-4	2.0301E-5	1.2541E-6	6.0458E-6
4.6009E+1	2.4862E+1	3.1267E+0	1.3509E-2	1.2635E-4	5.6304E-5	8.0791E-6	8.2677E-6
4.7634E+1	2.4859E+1	2.9910E+0	1.6065E-2	1.2992E-4	9.7553E-5	9.2992E-6	2.7952E-5
4.9316E+1	2.4865E+1	2.9041E+0	1.6959E-2	1.1442E-4	9.2145E-5	3.1196E-6	9.4045E-5
5.1058E+1	2.4864E+1	2.7944E+0	1.8609E-2	1.2347E-4	1.1599E-4	3.7382E-6	8.8995E-5
5.2862E+1	2.4861E+1	2.7423E+0	1.3672E-2	1.1035E-4	8.0232E-5	2.0066E-6	3.3617E-5
5.4729E+1	2.4861E+1	2.6307E+0	1.2128E-2	1.1925E-4	3.5750E-5	1.9334E-6	4.6366E-6
5.6662E+1	2.4863E+1	2.5592E+0	1.1549E-2	1.1618E-4	2.3949E-5	1.5390E-6	1.1133E-6
5.8663E+1	2.4868E+1	2.4493E+0	1.1466E-2	1.1263E-4	2.5812E-5	2.2874E-5	1.2701E-6
6.0735E+1	2.4868E+1	2.3868E+0	1.4113E-2	1.1871E-4	2.5876E-5	7.9248E-5	3.0889E-6
6.2881E+1	2.4869E+1	2.3019E+0	1.5495E-2	1.2188E-4	1.9314E-5	1.0077E-4	2.4778E-6
6.5102E+1	2.4867E+1	2.2143E+0	1.1849E-2	9.9919E-5	2.2910E-5	6.5610E-5	5.1100E-6
6.7401E+1	2.4870E+1	2.1500E+0	1.6440E-2	1.6455E-4	2.6730E-5	2.5795E-5	8.3044E-6
6.9782E+1	2.4870E+1	2.0808E+0	1.6248E-2	1.6194E-4	3.0472E-5	5.1312E-6	2.6182E-5
7.2247E+1	2.4870E+1	2.0067E+0	1.8410E-2	1.8683E-4	2.3724E-5	3.1929E-6	1.7050E-5
7.4799E+1	2.4870E+1	1.9408E+0	2.2319E-2	2.2782E-4	2.1839E-5	7.4459E-6	1.1626E-5
7.7441E+1	2.4871E+1	1.8777E+0	5.4722E-3	2.5862E-5	4.8857E-5	6.3408E-6	8.4074E-6
8.0176E+1	2.4871E+1	1.8136E+0	1.4803E-2	1.2217E-4	9.0200E-5	7.4441E-6	5.2681E-6
8.3008E+1	2.4872E+1	1.7530E+0	1.8988E-2	1.6826E-4	9.8402E-5	5.9497E-6	6.3419E-6
8.5940E+1	2.4873E+1	1.6949E+0	1.4185E-2	9.8399E-5	1.0646E-4	1.5477E-5	2.9935E-6
8.8976E+1	2.4873E+1	1.6377E+0	1.2875E-2	1.1875E-4	5.0548E-5	2.5414E-5	1.4193E-5
9.2118E+1	2.4874E+1	1.5837E+0	1.1650E-2	1.1717E-4	6.6652E-6	1.1345E-5	2.0597E-5
9.5372E+1	2.4874E+1	1.5296E+0	1.1549E-2	1.1702E-4	1.8140E-5	3.7673E-6	6.2895E-6
9.8741E+1	2.4875E+1	1.4797E+0	1.0729E-2	1.0846E-4	1.6972E-5	2.2060E-6	9.6205E-6
1.0223E+2	2.4875E+1	1.4289E+0	1.1664E-2	1.1667E-4	2.6950E-5	1.6328E-6	4.2055E-6
1.0584E+2	2.4875E+1	1.3806E+0	1.1338E-2	1.1163E-4	2.7320E-5	6.3358E-6	1.7927E-5
1.0958E+2	2.4876E+1	1.3339E+0	1.3961E-2	1.3848E-4	1.8356E-5	9.1922E-6	3.1274E-5
1.1345E+2	2.4876E+1	1.2885E+0	1.2039E-2	1.1874E-4	2.4334E-5	1.6785E-5	1.8110E-5
1.1746E+2	2.4877E+1	1.2450E+0	1.6956E-2	1.7107E-4	2.8917E-5	1.5038E-5	4.0800E-6
1.2160E+2	2.4877E+1	1.2053E+0	9.3847E-3	9.3548E-5	2.1281E-5	9.5304E-6	7.0035E-7
1.2590E+2	2.4878E+1	1.1609E+0	1.0040E-2	1.0136E-4	1.2071E-5	3.6040E-6	1.4324E-5
1.3035E+2	2.4879E+1	1.1223E+0	1.4762E-2	1.4960E-4	1.9071E-5	1.3290E-5	8.8934E-6
1.3495E+2	2.4878E+1	1.0830E+0	1.8859E-2	1.9144E-4	2.3923E-5	1.6285E-5	6.8074E-6
1.3972E+2	2.4878E+1	1.0429E+0	1.1703E-2	1.1589E-4	1.2432E-5	2.9445E-5	2.4445E-6
1.4465E+2	2.4879E+1	1.0170E+0	9.4815E-3	9.1977E-5	2.5344E-5	1.8242E-5	7.4342E-6
1.4976E+2	2.4879E+1	9.7932E-1	1.2818E-2	1.2872E-4	1.8932E-5	1.5506E-5	1.3142E-5
1.5505E+2	2.4881E+1	9.4401E-1	1.3068E-2	1.3223E-4	1.8107E-5	7.8812E-6	1.2190E-5
1.6053E+2	2.4881E+1	9.1236E-1	1.2006E-2	1.2144E-4	1.7412E-5	1.1096E-5	6.1008E-6
1.6620E+2	2.4880E+1	8.7678E-1	1.2965E-2	1.2749E-4	2.2673E-5	1.4733E-5	2.7565E-5
1.7207E+2	2.4880E+1	8.4970E-1	1.2829E-2	1.2628E-4	2.9455E-5	4.5656E-6	2.3228E-5
1.7815E+2	2.4881E+1	8.1432E-1	1.0272E-2	1.0334E-4	1.5072E-5	9.7189E-6	1.1640E-5
1.8444E+2	2.4881E+1	7.9006E-1	1.2347E-2	1.2308E-4	1.7937E-5	1.6386E-5	1.8774E-5
1.9095E+2	2.4881E+1	7.6228E-1	1.2951E-2	1.2996E-4	2.0586E-5	1.5223E-5	1.2564E-5
1.9770E+2	2.4882E+1	7.3175E-1	1.0077E-2	1.0081E-4	2.0957E-5	8.1350E-6	7.1240E-6
2.0468E+2	2.4882E+1	7.0940E-1	1.1397E-2	1.1545E-4	1.3396E-5	1.3106E-5	5.3384E-6
2.1191E+2	2.4882E+1	6.8492E-1	1.2843E-2	1.2572E-4	1.4060E-5	2.3832E-5	2.9018E-5
2.1940E+2	2.4882E+1	6.5958E-1	1.1448E-2	1.1222E-4	3.2461E-5	9.4468E-6	9.8822E-6
2.2715E+2	2.4883E+1	6.2943E-1	1.3067E-2	1.2876E-4	3.2846E-5	2.1641E-6	1.8985E-5
2.3517E+2	2.4882E+1	6.1272E-1	1.0682E-2	1.0131E-4	2.9712E-5	1.2894E-5	2.7155E-5
2.4348E+2	2.4883E+1	5.9109E-1	1.0844E-2	1.0662E-4	3.0060E-5	1.0586E-5	5.3520E-6
2.5208E+2	2.4884E+1	5.6762E-1	1.0714E-2	1.0383E-4	3.5723E-5	7.0511E-7	7.7329E-6
2.6098E+2	2.4884E+1	5.4591E-1	1.0084E-2	9.7045E-5	2.8687E-5	2.1980E-5	3.1989E-6
2.7020E+2	2.4884E+1	5.2696E-1	1.1722E-2	1.1496E-4	2.7099E-5	6.2626E-6	2.2718E-5
2.7974E+2	2.4883E+1	5.0408E-1	1.4041E-2	1.4200E-4	1.1909E-5	2.2374E-5	6.6314E-7
2.8962E+2	2.4884E+1	4.8190E-1	1.0449E-2	9.4990E-5	4.7115E-5	1.6423E-5	3.8824E-6
2.9985E+2	2.4884E+1	4.6201E-1	1.1628E-2	1.1454E-4	3.2143E-5	2.4228E-6	1.0635E-5
3.1045E+2	2.4885E+1	4.4355E-1	1.1377E-2	1.1293E-4	2.0918E-5	1.7042E-5	1.3454E-5
3.2141E+2	2.4885E+1	4.2612E-1	1.1967E-2	1.1809E-4	3.2391E-5	3.5427E-6	1.0432E-5
3.3276E+2	2.4885E+1	4.0909E-1	1.2146E-2	1.2286E-4	8.2642E-6	1.3003E-5	1.5435E-5
3.4452E+2	2.4885E+1	3.9159E-1	1.0769E-2	1.0928E-4	3.9052E-6	1.3059E-5	1.0644E-5
3.5669E+2	2.4885E+1	3.7343E-1	1.1202E-2	1.0450E-4	3.9916E-5	2.6874E-5	3.7027E-6
3.6928E+2	2.4885E+1	3.5849E-1	1.1316E-2	1.1174E-4	2.5527E-5	1.6594E-5	1.0171E-5
3.8233E+2	2.4885E+1	3.4276E-1	9.9794E-3	9.9200E-5	2.0384E-5	1.4265E-5	7.1887E-6
3.9583E+2	2.4886E+1	3.2617E-1	1.1434E-2	1.1488E-4	2.1487E-5	8.8783E-6	7.7830E-6
4.0981E+2	2.4886E+1	3.1092E-1	1.0447E-2	1.0479E-4	1.9252E-5	1.2632E-5	2.9392E-6
4.2429E+2	2.4886E+1	2.9519E-1	1.1803E-2	1.1460E-4	3.7740E-5	7.2361E-6	9.6978E-6
4.3928E+2	2.4886E+1	2.8172E-1	1.0171E-2	1.0353E-4	1.0461E-5	3.7166E-6	8.6593E-6
4.5479E+2	2.4886E+1	2.6551E-1	9.5763E-3	9.5628E-5	2.0788E-5	9.7698E-6	2.5190E-6
4.7086E+2	2.4886E+1	2.5194E-1	1.1741E-2	1.1737E-4	2.0639E-5	7.1478E-6	1.7229E-5
4.8749E+2	2.4886E+1	2.3787E-1	1.1719E-2	1.1660E-4	2.7908E-5	9.6569E-6	5.2961E-6
5.0471E+2	2.4887E+1	2.2474E-1	1.1830E-2	1.1579E-4	3.4286E-5	7.7022E-6	1.1349E-5
5.2254E+2	2.4887E+1	2.1247E-1	1.2189E-2	1.1973E-4	2.9786E-5	2.0596E-5	5.8495E-6
5.4099E+2	2.4887E+1	1.9889E-1	9.3128E-3	9.2746E-5	2.2567E-5	1.0616E-6	6.4222E-6
5.6010E+2	2.4887E+1	1.8379E-1	9.7534E-3	9.5129E-5	3.0205E-5	8.5355E-6	2.5079E-6
5.7988E+2	2.4887E+1	1.7029E-1	1.0409E-2	1.0176E-4	3.0139E-5	9.7427E-6	8.7437E-6
6.0037E+2	2.4887E+1	1.5879E-1	9.1123E-3	9.1398E-5	1.9216E-5	2.4397E-6	5.8735E-6
6.2157E+2	2.4887E+1	1.4662E-1	1.0911E-2	1.1063E-4	1.6136E-5	4.7848E-6	6.3782E-6
6.4353E+2	2.4887E+1	1.3453E-1	9.4793E-3	9.2521E-5	2.6533E-5	1.0632E-5	1.0400E-5
6.6626E+2	2.4887E+1	1.2186E-1	1.0577E-2	1.0542E-4	1.9477E-5	6.6329E-6	1.6503E-5
