%	Date:	2006-06-01	Time:	02:00:41
%	Sampling frequency		[Hz]:	199000
%	Generator amplitude		[V]:	0.12500
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[EU RMS]	[EU RMS]	[EU RMS]	[EU RMS]
2.0000E+1	2.4812E+1	7.0164E+0	1.8612E-2	2.8061E-4	1.4157E-5	1.3959E-6	1.2647E-5
2.0706E+1	2.4815E+1	6.7831E+0	1.7889E-2	2.7023E-4	3.5883E-6	2.8735E-6	5.2655E-6
2.1438E+1	2.4818E+1	6.5574E+0	2.0566E-2	3.1055E-4	1.1681E-5	9.4301E-7	1.5715E-6
2.2195E+1	2.4821E+1	6.3395E+0	2.2422E-2	3.3874E-4	3.8661E-6	4.0284E-6	4.7592E-6
2.2979E+1	2.4824E+1	6.1285E+0	3.1870E-2	4.8151E-4	6.3542E-6	1.1222E-6	5.8470E-6
2.3791E+1	2.4827E+1	5.9245E+0	4.3222E-2	6.5308E-4	6.0193E-6	5.0110E-6	1.4724E-6
2.4631E+1	2.4830E+1	5.7273E+0	1.9978E-2	3.0171E-4	6.8581E-6	7.0931E-6	3.6748E-6
2.5501E+1	2.4832E+1	5.5365E+0	2.4210E-2	3.6564E-4	6.9879E-6	8.3035E-6	5.0719E-6
2.6402E+1	2.4834E+1	5.3527E+0	1.4058E-2	2.1230E-4	4.0117E-6	5.6971E-6	3.0364E-6
2.7334E+1	2.4837E+1	5.1745E+0	3.0625E-2	4.6268E-4	8.2465E-6	2.2795E-6	3.5238E-6
2.8300E+1	2.4839E+1	5.0028E+0	5.6397E-3	8.2666E-5	7.8199E-6	4.0294E-6	1.8825E-5
2.9299E+1	2.4841E+1	4.8360E+0	1.4319E-2	1.9625E-4	5.3688E-6	4.0988E-6	9.1216E-5
3.0334E+1	2.4843E+1	4.6753E+0	2.0546E-2	2.8823E-4	1.1327E-5	5.7550E-6	1.1509E-4
3.1406E+1	2.4844E+1	4.5198E+0	1.7525E-2	2.6031E-4	9.0373E-6	2.2984E-6	4.7959E-5
3.2515E+1	2.4846E+1	4.3696E+0	1.7036E-2	2.5693E-4	1.5343E-5	4.3014E-6	1.6021E-6
3.3664E+1	2.4848E+1	4.2240E+0	1.6600E-2	2.5050E-4	1.2605E-5	2.7650E-6	1.9385E-6
3.4853E+1	2.4849E+1	4.0840E+0	1.7018E-2	2.5631E-4	8.4242E-6	1.8573E-5	4.3716E-6
3.6084E+1	2.4851E+1	3.9485E+0	1.7898E-2	2.5766E-4	7.2271E-6	8.1940E-5	4.8667E-6
3.7358E+1	2.4852E+1	3.8153E+0	1.9282E-2	2.6596E-4	6.8936E-6	1.1900E-4	4.4244E-6
3.8678E+1	2.4854E+1	3.6884E+0	1.8228E-2	2.5987E-4	8.2438E-6	9.1116E-5	1.5830E-6
4.0044E+1	2.4854E+1	3.5634E+0	1.7409E-2	2.6034E-4	7.0855E-6	3.6549E-5	6.7371E-6
4.1458E+1	2.4857E+1	3.4450E+0	1.7009E-2	2.5688E-4	5.7050E-6	3.2872E-6	5.1823E-6
4.2923E+1	2.4857E+1	3.3240E+0	1.6913E-2	2.5552E-4	2.6367E-6	3.3882E-6	2.2514E-6
4.4439E+1	2.4859E+1	3.2350E+0	1.6904E-2	2.5532E-4	6.2919E-6	2.4013E-6	4.0615E-6
4.6009E+1	2.4860E+1	3.1298E+0	1.7289E-2	2.5956E-4	2.9652E-5	1.7178E-6	1.3058E-6
4.7634E+1	2.4861E+1	2.9980E+0	1.8099E-2	2.5619E-4	8.9319E-5	5.4826E-6	3.4400E-5
4.9316E+1	2.4864E+1	2.9165E+0	2.0220E-2	2.6803E-4	1.1175E-4	5.7083E-6	9.5378E-5
5.1058E+1	2.4864E+1	2.8071E+0	1.9004E-2	2.5162E-4	1.0373E-4	6.1543E-6	9.1897E-5
5.2862E+1	2.4861E+1	2.7299E+0	1.7788E-2	2.5306E-4	8.7653E-5	6.0595E-6	2.2725E-5
5.4729E+1	2.4862E+1	2.6236E+0	1.7222E-2	2.5823E-4	3.2062E-5	3.7312E-6	2.7151E-6
5.6662E+1	2.4863E+1	2.5488E+0	1.6517E-2	2.4892E-4	1.6374E-5	4.0103E-6	6.9504E-6
5.8663E+1	2.4867E+1	2.4582E+0	1.6734E-2	2.5072E-4	1.1037E-5	3.0484E-5	5.9907E-6
6.0735E+1	2.4867E+1	2.3872E+0	1.7696E-2	2.5290E-4	1.1888E-5	8.6013E-5	6.5263E-6
6.2881E+1	2.4868E+1	2.3045E+0	1.8317E-2	2.5586E-4	1.3782E-5	1.0475E-4	6.5143E-6
6.5102E+1	2.4868E+1	2.2166E+0	1.7279E-2	2.5281E-4	7.4412E-6	6.4952E-5	2.7264E-6
6.7401E+1	2.4869E+1	2.1519E+0	1.6453E-2	2.4719E-4	6.2047E-6	2.4441E-5	8.8650E-6
6.9782E+1	2.4869E+1	2.0806E+0	2.2479E-2	3.3897E-4	5.8730E-6	3.8964E-6	2.0977E-5
7.2247E+1	2.4870E+1	2.0085E+0	2.3220E-2	3.5048E-4	8.2066E-6	6.5629E-6	1.3144E-5
7.4799E+1	2.4870E+1	1.9402E+0	1.7602E-2	2.6551E-4	1.4786E-5	5.2506E-6	2.0905E-6
7.7441E+1	2.4871E+1	1.8767E+0	1.6082E-2	2.3938E-4	4.1792E-5	2.5945E-6	2.3096E-6
8.0176E+1	2.4872E+1	1.8137E+0	1.2307E-2	1.6786E-4	7.9970E-5	3.7033E-6	4.1544E-6
8.3008E+1	2.4872E+1	1.7535E+0	2.1770E-2	3.0886E-4	1.1308E-4	7.6036E-6	4.0586E-6
8.5940E+1	2.4873E+1	1.6946E+0	1.6306E-2	2.3121E-4	8.1314E-5	2.1329E-5	1.4346E-5
8.8976E+1	2.4873E+1	1.6377E+0	1.6042E-2	2.3517E-4	5.1889E-5	1.6007E-5	2.2851E-5
9.2118E+1	2.4874E+1	1.5832E+0	1.6838E-2	2.5198E-4	3.2249E-5	1.3509E-5	5.5672E-6
9.5372E+1	2.4874E+1	1.5301E+0	1.6801E-2	2.5364E-4	7.1646E-6	5.7848E-6	6.2516E-6
9.8741E+1	2.4875E+1	1.4797E+0	1.6691E-2	2.5191E-4	1.0334E-5	4.9874E-6	5.0051E-6
1.0223E+2	2.4875E+1	1.4298E+0	1.6628E-2	2.5117E-4	3.0547E-6	5.4724E-6	2.8936E-6
1.0584E+2	2.4876E+1	1.3806E+0	1.6920E-2	2.5482E-4	3.0395E-6	6.7613E-6	1.9662E-5
1.0958E+2	2.4876E+1	1.3344E+0	1.7496E-2	2.6189E-4	1.5021E-5	1.3762E-5	3.0045E-5
1.1345E+2	2.4877E+1	1.2887E+0	1.4386E-2	2.1470E-4	2.0160E-5	2.0372E-5	1.8555E-5
1.1746E+2	2.4877E+1	1.2456E+0	2.0391E-2	3.0740E-4	1.6511E-5	1.1220E-5	7.1407E-6
1.2160E+2	2.4877E+1	1.2035E+0	2.2933E-2	3.4576E-4	2.2813E-5	2.5340E-6	3.6325E-6
1.2590E+2	2.4878E+1	1.1642E+0	2.2730E-2	3.4295E-4	1.2510E-5	1.2485E-5	6.7612E-6
1.3035E+2	2.4878E+1	1.1250E+0	2.2484E-2	3.3913E-4	1.6838E-5	6.8627E-6	1.0065E-5
1.3495E+2	2.4878E+1	1.0819E+0	1.8031E-2	2.7068E-4	5.5980E-6	2.8814E-5	1.0624E-5
1.3972E+2	2.4879E+1	1.0444E+0	1.3302E-2	1.9833E-4	1.3235E-5	2.9479E-5	5.4531E-6
1.4465E+2	2.4879E+1	1.0128E+0	1.7618E-2	2.6507E-4	1.6746E-5	1.5851E-5	9.3538E-6
1.4976E+2	2.4879E+1	9.7481E-1	1.6845E-2	2.5323E-4	1.8979E-5	4.9098E-6	1.6821E-5
1.5505E+2	2.4880E+1	9.4623E-1	1.6275E-2	2.4536E-4	1.5565E-5	5.6450E-6	3.5655E-6
1.6053E+2	2.4880E+1	9.1388E-1	1.6265E-2	2.4514E-4	1.2007E-5	1.0255E-5	7.8164E-6
1.6620E+2	2.4880E+1	8.7569E-1	1.5959E-2	2.3929E-4	1.0829E-5	1.2113E-5	2.5322E-5
1.7207E+2	2.4880E+1	8.4620E-1	1.6041E-2	2.4123E-4	5.5874E-6	8.0020E-6	2.1756E-5
1.7815E+2	2.4881E+1	8.1703E-1	1.6994E-2	2.5392E-4	3.5937E-5	1.2428E-5	4.9743E-6
1.8444E+2	2.4881E+1	7.8738E-1	1.8177E-2	2.7225E-4	3.4208E-5	1.2263E-5	2.1531E-6
1.9095E+2	2.4881E+1	7.5971E-1	1.7325E-2	2.5928E-4	3.4223E-5	3.4176E-6	1.1683E-5
1.9770E+2	2.4882E+1	7.3308E-1	1.6130E-2	2.4281E-4	1.6855E-5	6.6892E-6	1.1184E-5
2.0468E+2	2.4882E+1	7.0748E-1	1.6291E-2	2.4500E-4	1.5582E-5	1.5986E-5	9.0376E-6
2.1191E+2	2.4882E+1	6.8302E-1	1.7066E-2	2.5654E-4	7.0105E-6	1.6518E-5	1.9315E-5
2.1940E+2	2.4882E+1	6.5562E-1	1.5305E-2	2.3071E-4	1.5011E-5	5.8378E-6	4.5709E-7
2.2715E+2	2.4883E+1	6.3340E-1	1.5896E-2	2.3954E-4	4.9640E-6	1.3423E-5	1.0979E-5
2.3517E+2	2.4882E+1	6.0892E-1	1.5235E-2	2.2904E-4	9.2955E-6	1.3804E-5	1.6283E-5
2.4348E+2	2.4883E+1	5.9021E-1	1.6751E-2	2.5174E-4	1.6620E-5	1.9558E-5	6.6749E-6
2.5208E+2	2.4883E+1	5.6797E-1	1.6705E-2	2.5186E-4	1.3657E-5	1.0565E-6	1.0198E-5
2.6098E+2	2.4883E+1	5.4696E-1	1.6647E-2	2.5060E-4	2.5864E-6	2.0585E-5	7.0249E-6
2.7020E+2	2.4883E+1	5.2386E-1	1.8300E-2	2.7357E-4	2.9693E-5	2.4535E-5	1.2123E-5
2.7974E+2	2.4884E+1	5.0114E-1	1.4588E-2	2.1957E-4	1.4079E-5	3.5353E-6	1.3273E-5
2.8962E+2	2.4884E+1	4.8171E-1	1.5598E-2	2.3394E-4	1.8560E-5	1.6924E-5	1.4217E-5
2.9985E+2	2.4884E+1	4.6283E-1	1.7006E-2	2.5670E-4	9.5985E-7	6.9584E-6	9.8433E-6
3.1045E+2	2.4885E+1	4.4434E-1	1.6189E-2	2.4329E-4	1.0642E-5	7.8617E-6	2.1962E-5
3.2141E+2	2.4885E+1	4.2605E-1	1.5713E-2	2.3656E-4	4.8540E-6	1.8975E-5	5.8616E-6
3.3276E+2	2.4885E+1	4.0780E-1	1.6203E-2	2.4448E-4	5.7874E-6	2.4742E-6	1.2003E-5
3.4452E+2	2.4885E+1	3.9176E-1	1.5518E-2	2.3379E-4	1.7749E-5	3.4012E-6	2.5652E-6
3.5669E+2	2.4885E+1	3.7374E-1	1.5504E-2	2.3306E-4	2.2831E-5	6.3951E-6	3.0843E-6
3.6928E+2	2.4885E+1	3.5884E-1	1.6841E-2	2.5414E-4	1.5316E-6	1.1054E-5	7.0401E-6
3.8233E+2	2.4886E+1	3.4184E-1	1.6189E-2	2.4372E-4	1.9201E-5	4.0967E-6	7.5835E-6
3.9583E+2	2.4886E+1	3.2579E-1	1.5924E-2	2.4015E-4	1.0837E-5	1.0553E-5	1.7695E-6
4.0981E+2	2.4886E+1	3.1070E-1	1.4581E-2	2.1969E-4	1.1531E-5	9.9766E-6	7.4087E-6
4.2429E+2	2.4886E+1	2.9560E-1	1.6682E-2	2.5152E-4	8.8890E-6	9.3793E-6	1.0792E-5
4.3928E+2	2.4886E+1	2.8104E-1	1.5084E-2	2.2765E-4	1.0122E-5	1.9666E-6	4.7609E-6
4.5479E+2	2.4886E+1	2.6576E-1	1.6075E-2	2.4191E-4	2.1068E-5	3.5615E-6	4.9450E-6
4.7086E+2	2.4886E+1	2.5184E-1	1.6421E-2	2.4793E-4	3.7271E-6	5.5716E-6	7.5728E-6
4.8749E+2	2.4886E+1	2.3767E-1	1.6336E-2	2.4582E-4	1.6179E-5	8.0192E-6	1.3758E-5
5.0471E+2	2.4887E+1	2.2466E-1	1.5693E-2	2.3682E-4	9.0253E-6	1.7437E-6	8.2789E-6
5.2254E+2	2.4887E+1	2.1175E-1	1.6139E-2	2.4325E-4	1.2107E-5	1.8934E-6	1.2410E-5
5.4099E+2	2.4887E+1	1.9836E-1	1.3515E-2	2.0375E-4	2.5155E-6	1.3003E-5	4.1370E-6
5.6010E+2	2.4887E+1	1.8384E-1	1.4494E-2	2.1861E-4	1.1510E-5	4.8517E-6	4.7866E-6
