%	Date:	2006-06-01	Time:	02:01:27
%	Sampling frequency		[Hz]:	199000
%	Generator amplitude		[V]:	0.14900
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[EU RMS]	[EU RMS]	[EU RMS]	[EU RMS]
2.0000E+1	2.4812E+1	7.0161E+0	2.1435E-2	3.8567E-4	1.4000E-5	4.7024E-6	1.0087E-5
2.0706E+1	2.4815E+1	6.7827E+0	2.0490E-2	3.6887E-4	7.6350E-6	7.0204E-6	6.2392E-6
2.1438E+1	2.4818E+1	6.5570E+0	2.1618E-2	3.8902E-4	1.5638E-5	5.0769E-6	3.0518E-6
2.2195E+1	2.4821E+1	6.3389E+0	1.7585E-2	3.1665E-4	5.9430E-6	4.6542E-6	1.9712E-6
2.2979E+1	2.4824E+1	6.1281E+0	2.2115E-2	3.9821E-4	7.7669E-6	3.8205E-6	5.5396E-6
2.3791E+1	2.4827E+1	5.9243E+0	4.3030E-2	7.7496E-4	1.1205E-5	6.4229E-6	9.9469E-7
2.4631E+1	2.4829E+1	5.7271E+0	9.0931E-3	1.6313E-4	7.8120E-6	1.1952E-5	3.3835E-6
2.5501E+1	2.4832E+1	5.5367E+0	3.5552E-2	6.4014E-4	1.4093E-5	9.6323E-6	1.4964E-6
2.6402E+1	2.4834E+1	5.3522E+0	2.7162E-2	4.8915E-4	6.4544E-6	5.4909E-6	4.7202E-6
2.7334E+1	2.4836E+1	5.1744E+0	1.7170E-2	3.0909E-4	9.0289E-6	2.1744E-6	5.1446E-6
2.8300E+1	2.4838E+1	5.0025E+0	1.5277E-2	2.7404E-4	1.1592E-5	3.6243E-6	2.1835E-5
2.9299E+1	2.4840E+1	4.8357E+0	1.5865E-2	2.7124E-4	1.2926E-5	2.5471E-6	8.9284E-5
3.0334E+1	2.4842E+1	4.6751E+0	2.1943E-2	3.7935E-4	7.0005E-6	4.2982E-6	1.1105E-4
3.1406E+1	2.4844E+1	4.5195E+0	1.9914E-2	3.5469E-4	2.6368E-6	2.6639E-6	5.3521E-5
3.2515E+1	2.4846E+1	4.3696E+0	1.8990E-2	3.4203E-4	7.0091E-7	2.8623E-6	1.4294E-6
