%	Date:	2006-06-01	Time:	02:09:45
%	Sampling frequency		[Hz]:	199000
%	Generator amplitude		[V]:	0.75900
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[EU RMS]	[EU RMS]	[EU RMS]	[EU RMS]
2.0000E+1	2.4812E+1	7.0124E+0	3.4911E-2	3.1526E-3	1.6067E-4	5.4447E-4	5.5919E-5
2.0706E+1	2.4815E+1	6.7790E+0	3.4735E-2	3.1378E-3	1.6184E-4	5.3590E-4	4.2267E-5
2.1438E+1	2.4819E+1	6.5534E+0	3.4127E-2	3.0827E-3	1.5723E-4	5.2770E-4	4.8588E-5
2.2195E+1	2.4822E+1	6.3355E+0	3.3348E-2	3.0097E-3	1.6850E-4	5.2621E-4	4.6440E-5
2.2979E+1	2.4825E+1	6.1247E+0	3.1758E-2	2.8623E-3	1.6295E-4	5.2174E-4	4.6572E-5
2.3791E+1	2.4827E+1	5.9209E+0	3.3168E-2	2.9949E-3	1.6455E-4	5.1568E-4	4.8999E-5
2.4631E+1	2.4830E+1	5.7239E+0	3.6472E-2	3.3035E-3	1.6206E-4	5.1065E-4	4.4503E-5
2.5501E+1	2.4832E+1	5.5334E+0	3.9446E-2	3.5784E-3	1.6096E-4	5.1991E-4	4.6328E-5
2.6402E+1	2.4835E+1	5.3494E+0	3.8751E-2	3.5160E-3	1.6012E-4	5.0547E-4	5.1923E-5
2.7334E+1	2.4837E+1	5.1714E+0	3.1627E-2	2.8521E-3	1.5804E-4	5.1192E-4	5.1425E-5
2.8300E+1	2.4839E+1	4.9994E+0	3.5740E-2	3.2363E-3	1.6677E-4	5.0397E-4	3.8457E-5
2.9299E+1	2.4841E+1	4.8331E+0	3.4654E-2	3.1330E-3	1.6228E-4	5.0313E-4	1.3548E-4
3.0334E+1	2.4843E+1	4.6724E+0	3.3939E-2	3.0647E-3	1.6575E-4	5.0393E-4	1.6292E-4
3.1406E+1	2.4844E+1	4.5170E+0	3.4190E-2	3.0912E-3	1.6851E-4	5.0006E-4	1.0192E-4
3.2515E+1	2.4846E+1	4.3667E+0	3.4044E-2	3.0781E-3	1.7721E-4	5.0259E-4	4.7155E-5
3.3664E+1	2.4848E+1	4.2216E+0	3.4213E-2	3.0935E-3	1.7935E-4	5.0334E-4	4.6336E-5
3.4853E+1	2.4849E+1	4.0812E+0	3.4055E-2	3.0784E-3	1.7009E-4	5.0881E-4	5.2457E-5
3.6084E+1	2.4851E+1	3.9456E+0	3.4115E-2	3.0745E-3	1.6332E-4	5.6607E-4	4.9156E-5
3.7358E+1	2.4852E+1	3.8147E+0	3.3758E-2	3.0687E-3	1.6281E-4	3.8895E-4	4.3611E-5
3.8678E+1	2.4853E+1	3.6876E+0	3.3841E-2	3.0749E-3	1.6622E-4	3.9887E-4	4.9033E-5
4.0044E+1	2.4855E+1	3.5660E+0	3.3938E-2	3.0681E-3	1.7059E-4	5.0505E-4	4.7015E-5
4.1458E+1	2.4856E+1	3.4467E+0	3.3989E-2	3.0760E-3	1.6228E-4	4.8813E-4	5.0203E-5
4.2923E+1	2.4857E+1	3.3335E+0	3.3880E-2	3.0651E-3	1.6770E-4	4.9095E-4	4.8607E-5
4.4439E+1	2.4858E+1	3.2193E+0	3.3954E-2	3.0729E-3	1.7357E-4	4.8252E-4	5.3790E-5
4.6009E+1	2.4859E+1	3.1120E+0	3.3857E-2	3.0619E-3	2.0158E-4	4.8546E-4	4.4249E-5
4.7634E+1	2.4860E+1	3.0126E+0	3.3779E-2	3.0512E-3	2.3176E-4	4.8733E-4	8.9652E-5
4.9316E+1	2.4861E+1	2.9091E+0	3.3934E-2	3.0709E-3	1.0061E-4	4.9060E-4	1.2592E-4
5.1058E+1	2.4862E+1	2.8143E+0	3.3857E-2	3.0601E-3	2.2304E-4	4.8728E-4	4.6648E-5
5.2862E+1	2.4864E+1	2.7207E+0	3.3793E-2	3.0549E-3	1.9069E-4	4.9282E-4	7.2792E-5
5.4729E+1	2.4864E+1	2.6323E+0	3.3945E-2	3.0732E-3	1.6612E-4	4.7909E-4	4.9051E-5
5.6662E+1	2.4865E+1	2.5431E+0	3.3817E-2	3.0608E-3	1.7557E-4	4.7876E-4	4.9647E-5
5.8663E+1	2.4865E+1	2.4576E+0	3.3893E-2	3.0637E-3	1.7098E-4	5.0543E-4	5.4698E-5
6.0735E+1	2.4866E+1	2.3750E+0	3.3653E-2	3.0494E-3	1.7231E-4	4.5462E-4	4.8726E-5
6.2881E+1	2.4867E+1	2.2962E+0	3.3823E-2	3.0567E-3	1.6676E-4	5.1072E-4	4.5338E-5
