%	Date:	2006-06-01	Time:	02:07:09
%	Sampling frequency		[Hz]:	199000
%	Generator amplitude		[V]:	0.44100
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[EU RMS]	[EU RMS]	[EU RMS]	[EU RMS]
2.0000E+1	2.4812E+1	7.0144E+0	3.2750E-2	1.7292E-3	7.8975E-5	2.2877E-4	1.9532E-5
2.0706E+1	2.4815E+1	6.7810E+0	3.2235E-2	1.7024E-3	9.0492E-5	2.1628E-4	2.8037E-5
2.1438E+1	2.4818E+1	6.5554E+0	3.2147E-2	1.6982E-3	9.9229E-5	2.0781E-4	2.8668E-5
2.2195E+1	2.4821E+1	6.3373E+0	2.9653E-2	1.5646E-3	8.8384E-5	2.0747E-4	2.6817E-5
2.2979E+1	2.4824E+1	6.1266E+0	2.8317E-2	1.4929E-3	9.1025E-5	2.0435E-4	2.7888E-5
2.3791E+1	2.4827E+1	5.9226E+0	3.7529E-2	1.9882E-3	9.7095E-5	2.0138E-4	2.5646E-5
2.4631E+1	2.4830E+1	5.7256E+0	2.7244E-2	1.4353E-3	9.3441E-5	2.0162E-4	2.6034E-5
2.5501E+1	2.4832E+1	5.5352E+0	3.9159E-2	2.0776E-3	9.1435E-5	1.8282E-4	3.0586E-5
2.6402E+1	2.4834E+1	5.3510E+0	3.6903E-2	1.9560E-3	9.5759E-5	1.8796E-4	2.7396E-5
2.7334E+1	2.4837E+1	5.1730E+0	2.5722E-2	1.3547E-3	9.1315E-5	1.9170E-4	2.5603E-5
2.8300E+1	2.4839E+1	5.0010E+0	3.2840E-2	1.7379E-3	9.8528E-5	1.8854E-4	1.2037E-5
2.9299E+1	2.4841E+1	4.8347E+0	3.1432E-2	1.6592E-3	9.2879E-5	1.8923E-4	1.0630E-4
3.0334E+1	2.4843E+1	4.6738E+0	3.1056E-2	1.6366E-3	9.8090E-5	1.8520E-4	1.3927E-4
3.1406E+1	2.4844E+1	4.5184E+0	3.1125E-2	1.6449E-3	1.0081E-4	1.8043E-4	7.3825E-5
3.2515E+1	2.4846E+1	4.3682E+0	3.1016E-2	1.6404E-3	9.9076E-5	1.8260E-4	2.7144E-5
3.3664E+1	2.4848E+1	4.2230E+0	3.1343E-2	1.6573E-3	1.0707E-4	1.8267E-4	3.1713E-5
3.4853E+1	2.4849E+1	4.0826E+0	3.0992E-2	1.6384E-3	9.8077E-5	1.8862E-4	2.9806E-5
3.6084E+1	2.4851E+1	3.9468E+0	3.1117E-2	1.6411E-3	1.0228E-4	2.1980E-4	2.5094E-5
3.7358E+1	2.4852E+1	3.8161E+0	3.0823E-2	1.6297E-3	9.5804E-5	1.8522E-4	3.4227E-5
3.8678E+1	2.4853E+1	3.6892E+0	3.0844E-2	1.6343E-3	8.9312E-5	1.5663E-4	3.0216E-5
4.0044E+1	2.4855E+1	3.5676E+0	3.0694E-2	1.6197E-3	9.6907E-5	2.1135E-4	2.7996E-5
4.1458E+1	2.4856E+1	3.4489E+0	3.0813E-2	1.6305E-3	9.9768E-5	1.7177E-4	3.1537E-5
4.2923E+1	2.4857E+1	3.3360E+0	3.0763E-2	1.6281E-3	9.5722E-5	1.7182E-4	2.8400E-5
4.4439E+1	2.4858E+1	3.2198E+0	3.0865E-2	1.6330E-3	9.2981E-5	1.7871E-4	2.8475E-5
4.6009E+1	2.4859E+1	3.1123E+0	3.0748E-2	1.6274E-3	8.9506E-5	1.7327E-4	3.3360E-5
