%	Date:	2006-06-01	Time:	02:11:00
%	Sampling frequency		[Hz]:	199000
%	Generator amplitude		[V]:	0.88600
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[EU RMS]	[EU RMS]	[EU RMS]	[EU RMS]
2.0000E+1	2.4808E+1	7.0140E+0	5.7838E-2	1.1623E-3	3.9062E-3	3.9422E-3	2.5218E-3
2.0706E+1	2.4811E+1	6.7806E+0	6.1741E-2	1.2727E-3	4.0774E-3	4.1934E-3	2.8382E-3
2.1438E+1	2.4814E+1	6.5551E+0	6.3160E-2	1.2730E-3	4.1210E-3	4.2890E-3	2.9883E-3
2.2195E+1	2.4817E+1	6.3371E+0	6.3524E-2	1.2769E-3	4.1352E-3	4.3095E-3	3.0261E-3
2.2979E+1	2.4820E+1	6.1264E+0	6.4033E-2	1.2057E-3	4.1587E-3	4.3482E-3	3.0911E-3
2.3791E+1	2.4823E+1	5.9227E+0	6.4210E-2	9.8138E-4	4.1790E-3	4.3802E-3	3.1400E-3
2.4631E+1	2.4825E+1	5.7257E+0	6.6807E-2	1.8276E-3	4.2297E-3	4.4465E-3	3.2218E-3
2.5501E+1	2.4828E+1	5.5353E+0	6.7270E-2	1.7194E-3	4.2750E-3	4.4942E-3	3.2663E-3
2.6402E+1	2.4830E+1	5.3512E+0	6.8439E-2	1.8049E-3	4.3318E-3	4.5569E-3	3.3372E-3
2.7334E+1	2.4832E+1	5.1733E+0	6.8820E-2	1.5085E-3	4.4005E-3	4.6144E-3	3.4056E-3
2.8300E+1	2.4834E+1	5.0013E+0	7.0017E-2	1.7418E-3	4.4358E-3	4.6696E-3	3.4534E-3
2.9299E+1	2.4836E+1	4.8350E+0	7.1216E-2	1.6760E-3	4.4917E-3	4.7370E-3	3.6016E-3
3.0334E+1	2.4838E+1	4.6743E+0	7.1340E-2	1.6053E-3	4.5261E-3	4.7671E-3	3.5793E-3
3.1406E+1	2.4840E+1	4.5189E+0	7.2650E-2	1.6826E-3	4.5929E-3	4.8428E-3	3.6595E-3
3.2515E+1	2.4841E+1	4.3688E+0	7.3361E-2	1.7607E-3	4.6538E-3	4.8800E-3	3.6595E-3
3.3664E+1	2.4843E+1	4.2236E+0	7.4570E-2	1.7919E-3	4.7192E-3	4.9535E-3	3.7422E-3
3.4853E+1	2.4844E+1	4.0833E+0	7.4887E-2	1.8292E-3	4.7397E-3	4.9648E-3	3.7561E-3
3.6084E+1	2.4846E+1	3.9476E+0	7.5871E-2	1.8468E-3	4.7863E-3	5.0271E-3	3.8322E-3
3.7358E+1	2.4847E+1	3.8164E+0	7.6359E-2	1.8930E-3	4.8168E-3	5.0576E-3	3.8429E-3
3.8678E+1	2.4848E+1	3.6894E+0	7.7325E-2	1.9368E-3	4.8761E-3	5.0919E-3	3.9227E-3
4.0044E+1	2.4850E+1	3.5674E+0	7.7463E-2	1.9353E-3	4.8530E-3	5.1432E-3	3.9164E-3
4.1458E+1	2.4851E+1	3.4477E+0	7.8882E-2	2.0045E-3	4.9519E-3	5.2058E-3	4.0002E-3
4.2923E+1	2.4852E+1	3.3335E+0	7.8631E-2	2.0201E-3	4.9337E-3	5.1904E-3	3.9778E-3
4.4439E+1	2.4853E+1	3.2236E+0	7.9749E-2	2.0498E-3	4.9950E-3	5.2577E-3	4.0533E-3
4.6009E+1	2.4854E+1	3.1168E+0	7.9027E-2	2.0228E-3	4.9430E-3	5.2202E-3	4.0163E-3
4.7634E+1	2.4855E+1	3.0116E+0	8.0903E-2	2.0843E-3	5.0839E-3	5.3128E-3	4.1163E-3
4.9316E+1	2.4856E+1	2.9115E+0	7.9645E-2	2.0586E-3	5.0558E-3	5.2487E-3	3.9604E-3
5.1058E+1	2.4857E+1	2.8143E+0	8.0766E-2	2.1051E-3	4.9487E-3	5.3384E-3	4.2060E-3
5.2862E+1	2.4858E+1	2.7251E+0	8.0614E-2	2.1044E-3	5.0901E-3	5.2901E-3	4.0618E-3
5.4729E+1	2.4858E+1	2.6334E+0	8.1131E-2	2.1214E-3	5.0350E-3	5.3486E-3	4.1625E-3
5.6662E+1	2.4860E+1	2.5469E+0	7.9381E-2	2.0459E-3	4.9678E-3	5.2303E-3	4.0409E-3
5.8663E+1	2.4861E+1	2.4592E+0	7.5983E-2	1.8379E-3	4.7647E-3	5.0320E-3	3.8824E-3
6.0735E+1	2.4862E+1	2.3792E+0	7.4637E-2	1.7664E-3	4.6558E-3	5.0142E-3	3.7686E-3
6.2881E+1	2.4862E+1	2.2997E+0	7.4970E-2	1.7336E-3	4.6565E-3	5.0533E-3	3.8068E-3
6.5102E+1	2.4863E+1	2.2231E+0	7.2520E-2	1.6960E-3	4.5502E-3	4.8378E-3	3.6837E-3
