%	Date:	2006-06-01	Time:	01:16:04
%	Sampling frequency		[Hz]:	199000
%	Generator amplitude		[V]:	0.89200
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[dB]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
5.6408E+1	2.4858E+1	2.5706E+0	-6.3976E+1	-8.0782E+1	-6.8730E+1	-6.7867E+1	-7.0241E+1
5.8723E+1	2.4859E+1	2.4702E+0	-6.4485E+1	-8.1938E+1	-6.9241E+1	-6.8320E+1	-7.0794E+1
6.1134E+1	2.4860E+1	2.3761E+0	-6.4435E+1	-8.2515E+1	-6.9236E+1	-6.8215E+1	-7.0734E+1
6.3644E+1	2.4861E+1	2.2846E+0	-6.4805E+1	-8.2883E+1	-6.9594E+1	-6.8561E+1	-7.1163E+1
6.6257E+1	2.4862E+1	2.1975E+0	-6.4610E+1	-8.2844E+1	-6.9350E+1	-6.8439E+1	-7.0895E+1
6.8977E+1	2.4862E+1	2.1133E+0	-6.4791E+1	-8.2625E+1	-6.9582E+1	-6.8582E+1	-7.1098E+1
7.1808E+1	2.4863E+1	2.0320E+0	-6.4595E+1	-8.2076E+1	-6.9409E+1	-6.8389E+1	-7.0893E+1
7.4756E+1	2.4864E+1	1.9536E+0	-6.4556E+1	-8.2116E+1	-6.9355E+1	-6.8343E+1	-7.0881E+1
7.7825E+1	2.4864E+1	1.8784E+0	-6.4297E+1	-8.2842E+1	-6.9035E+1	-6.8111E+1	-7.0595E+1
8.1020E+1	2.4865E+1	1.8063E+0	-6.4237E+1	-8.1285E+1	-6.9029E+1	-6.8074E+1	-7.0524E+1
8.4347E+1	2.4866E+1	1.7366E+0	-6.3928E+1	-8.0870E+1	-6.8706E+1	-6.7800E+1	-7.0183E+1
8.7809E+1	2.4866E+1	1.6696E+0	-6.4079E+1	-8.1159E+1	-6.8968E+1	-6.7886E+1	-7.0279E+1
9.1414E+1	2.4867E+1	1.6052E+0	-6.3970E+1	-8.0407E+1	-6.8778E+1	-6.7831E+1	-7.0244E+1
9.5167E+1	2.4867E+1	1.5431E+0	-6.3760E+1	-8.0354E+1	-6.8632E+1	-6.7621E+1	-6.9936E+1
9.9074E+1	2.4868E+1	1.4833E+0	-6.3927E+1	-8.0515E+1	-6.8776E+1	-6.7802E+1	-7.0109E+1
1.0314E+2	2.4868E+1	1.4258E+0	-6.3730E+1	-8.0435E+1	-6.8589E+1	-6.7624E+1	-6.9853E+1
1.0738E+2	2.4869E+1	1.3704E+0	-6.3854E+1	-8.0032E+1	-6.8729E+1	-6.7743E+1	-7.0014E+1
1.1178E+2	2.4870E+1	1.3171E+0	-6.3708E+1	-8.0539E+1	-6.8598E+1	-6.7588E+1	-6.9803E+1
1.1637E+2	2.4870E+1	1.2658E+0	-6.3795E+1	-8.0393E+1	-6.8634E+1	-6.7680E+1	-6.9971E+1
1.2115E+2	2.4870E+1	1.2161E+0	-6.3642E+1	-8.0303E+1	-6.8501E+1	-6.7553E+1	-6.9745E+1
1.2612E+2	2.4871E+1	1.1686E+0	-6.3825E+1	-8.0372E+1	-6.8684E+1	-6.7726E+1	-6.9952E+1
1.3130E+2	2.4871E+1	1.1225E+0	-6.3690E+1	-8.0601E+1	-6.8558E+1	-6.7584E+1	-6.9787E+1
1.3669E+2	2.4872E+1	1.0788E+0	-6.3802E+1	-7.9991E+1	-6.8695E+1	-6.7684E+1	-6.9950E+1
1.4230E+2	2.4872E+1	1.0361E+0	-6.3769E+1	-7.9924E+1	-6.8654E+1	-6.7712E+1	-6.9832E+1
1.4815E+2	2.4873E+1	9.9502E-1	-6.3809E+1	-8.1005E+1	-6.8702E+1	-6.7713E+1	-6.9835E+1
1.5423E+2	2.4873E+1	9.5539E-1	-6.3940E+1	-8.0280E+1	-6.8827E+1	-6.7859E+1	-7.0018E+1
1.6056E+2	2.4873E+1	9.1719E-1	-6.3795E+1	-8.0190E+1	-6.8664E+1	-6.7737E+1	-6.9856E+1
1.6715E+2	2.4874E+1	8.8018E-1	-6.4011E+1	-8.2368E+1	-6.8952E+1	-6.7876E+1	-6.9962E+1
1.7401E+2	2.4874E+1	8.4486E-1	-6.4041E+1	-8.1758E+1	-6.8952E+1	-6.7900E+1	-7.0075E+1
1.8116E+2	2.4874E+1	8.1057E-1	-6.4064E+1	-8.1723E+1	-6.8985E+1	-6.7935E+1	-7.0070E+1
1.8859E+2	2.4875E+1	7.7727E-1	-6.4126E+1	-8.1066E+1	-6.9029E+1	-6.8048E+1	-7.0127E+1
1.9634E+2	2.4875E+1	7.4544E-1	-6.4095E+1	-8.2780E+1	-6.9022E+1	-6.7964E+1	-7.0038E+1
2.0440E+2	2.4875E+1	7.1467E-1	-6.4175E+1	-8.2792E+1	-6.9109E+1	-6.8024E+1	-7.0146E+1
2.1279E+2	2.4876E+1	6.8491E-1	-6.4262E+1	-8.2921E+1	-6.9162E+1	-6.8141E+1	-7.0225E+1
2.2152E+2	2.4876E+1	6.5610E-1	-6.4258E+1	-8.3038E+1	-6.9174E+1	-6.8140E+1	-7.0187E+1
2.3062E+2	2.4876E+1	6.2846E-1	-6.4236E+1	-8.2893E+1	-6.9169E+1	-6.8104E+1	-7.0174E+1
2.4008E+2	2.4877E+1	6.0162E-1	-6.4241E+1	-8.1941E+1	-6.9172E+1	-6.8147E+1	-7.0177E+1
2.4994E+2	2.4877E+1	5.7545E-1	-6.4223E+1	-8.1928E+1	-6.9179E+1	-6.8130E+1	-7.0127E+1
2.6020E+2	2.4877E+1	5.5004E-1	-6.4208E+1	-8.2693E+1	-6.9149E+1	-6.8114E+1	-7.0083E+1
2.7088E+2	2.4877E+1	5.2570E-1	-6.4391E+1	-8.2991E+1	-6.9363E+1	-6.8261E+1	-7.0280E+1
2.8200E+2	2.4878E+1	5.0218E-1	-6.4490E+1	-8.2850E+1	-6.9513E+1	-6.8366E+1	-7.0321E+1
2.9358E+2	2.4878E+1	4.7940E-1	-6.4345E+1	-8.2357E+1	-6.9312E+1	-6.8256E+1	-7.0209E+1
3.0563E+2	2.4878E+1	4.5721E-1	-6.4491E+1	-8.3851E+1	-6.9479E+1	-6.8377E+1	-7.0298E+1
3.1818E+2	2.4878E+1	4.3562E-1	-6.4449E+1	-8.2632E+1	-6.9441E+1	-6.8356E+1	-7.0280E+1
3.3124E+2	2.4879E+1	4.1478E-1	-6.4523E+1	-8.3525E+1	-6.9559E+1	-6.8419E+1	-7.0275E+1
3.4484E+2	2.4879E+1	3.9452E-1	-6.4603E+1	-8.3193E+1	-6.9647E+1	-6.8497E+1	-7.0369E+1
