%	Date:	2006-06-01	Time:	02:44:37
%	Sampling frequency		[Hz]:	199000
%	Generator amplitude		[V]:	0.21400
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[EU RMS]	[EU RMS]	[EU RMS]	[EU RMS]
2.0000E+1	2.4811E+1	7.0154E+0	3.4832E-2	8.8821E-4	2.5123E-5	1.5031E-4	2.0703E-6
2.0706E+1	2.4815E+1	6.7820E+0	3.4958E-2	8.9110E-4	2.1174E-5	1.5286E-4	1.2461E-5
2.1438E+1	2.4818E+1	6.5564E+0	3.3283E-2	8.4702E-4	2.6250E-5	1.5263E-4	8.9444E-6
2.2195E+1	2.4821E+1	6.3385E+0	3.2191E-2	8.1863E-4	2.0412E-5	1.5185E-4	7.3581E-6
2.2979E+1	2.4824E+1	6.1274E+0	2.7330E-2	6.9027E-4	2.0577E-5	1.5170E-4	1.0821E-5
2.3791E+1	2.4827E+1	5.9236E+0	2.9588E-2	7.5025E-4	2.2164E-5	1.5045E-4	7.2182E-6
2.4631E+1	2.4829E+1	5.7264E+0	4.6846E-2	1.2030E-3	2.2850E-5	1.4512E-4	4.9433E-6
2.5501E+1	2.4832E+1	5.5359E+0	5.2275E-2	1.3432E-3	2.1692E-5	1.5626E-4	8.0211E-6
2.6402E+1	2.4834E+1	5.3518E+0	5.0400E-2	1.2952E-3	2.5780E-5	1.4808E-4	5.9303E-6
2.7334E+1	2.4836E+1	5.1738E+0	2.7661E-2	7.0029E-4	1.8040E-5	1.4644E-4	6.5542E-6
2.8300E+1	2.4838E+1	5.0015E+0	4.0794E-2	1.0445E-3	2.3304E-5	1.4700E-4	2.7230E-5
2.9299E+1	2.4840E+1	4.8354E+0	3.6606E-2	9.3100E-4	2.3017E-5	1.4791E-4	8.8664E-5
3.0334E+1	2.4842E+1	4.6744E+0	3.4053E-2	8.6103E-4	2.4961E-5	1.4769E-4	1.1191E-4
3.1406E+1	2.4844E+1	4.5192E+0	3.4877E-2	8.8807E-4	3.0694E-5	1.5029E-4	4.5235E-5
