%	Date:	2006-06-01	Time:	02:38:28
%	Sampling frequency		[Hz]:	199000
%	Generator amplitude		[V]:	0.085000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[EU RMS]	[EU RMS]	[EU RMS]	[EU RMS]
2.0000E+1	2.4811E+1	7.0160E+0	2.8274E-2	2.8739E-4	2.3240E-5	3.4901E-5	4.1380E-6
2.0706E+1	2.4814E+1	6.7821E+0	3.0026E-2	3.0541E-4	2.1421E-5	3.6683E-5	8.4547E-6
2.1438E+1	2.4817E+1	6.5573E+0	2.9779E-2	3.0412E-4	1.1550E-5	3.0777E-5	4.1283E-6
2.2195E+1	2.4821E+1	6.3384E+0	4.1433E-2	4.2389E-4	2.2449E-5	3.0701E-5	5.6734E-6
2.2979E+1	2.4823E+1	6.1278E+0	4.9547E-2	5.0747E-4	2.0132E-5	3.3430E-5	4.2472E-6
2.3791E+1	2.4826E+1	5.9239E+0	1.8608E-2	1.8697E-4	1.8986E-5	3.4668E-5	5.3131E-6
2.4631E+1	2.4829E+1	5.7268E+0	7.5069E-2	7.6975E-4	1.9512E-5	4.2235E-5	4.3225E-6
2.5501E+1	2.4831E+1	5.5363E+0	4.6853E-2	4.8022E-4	2.0984E-5	2.4586E-5	2.4927E-6
2.6402E+1	2.4833E+1	5.3517E+0	5.0524E-2	5.1736E-4	2.0959E-5	3.4851E-5	8.1858E-6
2.7334E+1	2.4836E+1	5.1743E+0	5.4033E-2	5.5342E-4	2.1746E-5	3.6811E-5	2.9888E-6
2.8300E+1	2.4838E+1	5.0019E+0	4.2188E-2	4.3138E-4	2.0748E-5	3.1760E-5	1.7495E-5
2.9299E+1	2.4840E+1	4.8359E+0	3.8337E-2	3.8084E-4	2.0679E-5	3.2429E-5	9.2986E-5
3.0334E+1	2.4842E+1	4.6746E+0	2.9576E-2	2.7861E-4	2.0974E-5	3.3154E-5	1.1511E-4
3.1406E+1	2.4843E+1	4.5193E+0	2.9591E-2	2.9715E-4	1.2663E-5	3.5519E-5	5.2045E-5
3.2515E+1	2.4845E+1	4.3692E+0	3.0247E-2	3.0883E-4	9.7424E-6	3.2244E-5	6.5379E-6
3.3664E+1	2.4847E+1	4.2237E+0	2.9510E-2	3.0044E-4	1.3250E-5	3.8119E-5	4.1428E-6
3.4853E+1	2.4848E+1	4.0827E+0	3.0021E-2	3.0362E-4	1.4941E-5	5.1890E-5	4.9796E-6
3.6084E+1	2.4850E+1	3.9485E+0	3.1491E-2	3.0349E-4	2.2483E-5	1.0984E-4	5.9181E-6
3.7358E+1	2.4851E+1	3.8166E+0	2.9771E-2	2.9245E-4	1.8075E-5	8.7748E-5	3.8957E-6
3.8678E+1	2.4853E+1	3.6931E+0	3.0109E-2	2.9961E-4	2.2724E-5	7.2742E-5	1.1014E-5
4.0044E+1	2.4855E+1	3.5647E+0	2.9794E-2	3.0206E-4	2.2542E-5	4.3983E-5	9.3224E-7
4.1458E+1	2.4855E+1	3.4570E+0	2.9559E-2	3.0157E-4	1.8876E-5	2.9221E-5	7.5323E-6
4.2923E+1	2.4858E+1	3.3371E+0	2.9084E-2	2.9613E-4	2.3139E-5	3.2273E-5	2.1377E-6
4.4439E+1	2.4855E+1	3.2273E+0	2.9434E-2	2.9985E-4	2.2168E-5	3.1545E-5	6.0906E-6
4.6009E+1	2.4856E+1	3.1196E+0	2.9033E-2	2.9310E-4	4.2065E-5	3.3988E-5	1.1222E-5
4.7634E+1	2.4862E+1	3.0217E+0	3.1661E-2	3.0694E-4	9.7379E-5	3.7719E-5	2.6480E-5
4.9316E+1	2.4859E+1	2.9293E+0	3.1787E-2	2.8984E-4	1.1295E-4	3.4166E-5	9.3801E-5
5.1058E+1	2.4862E+1	2.8330E+0	3.2574E-2	3.0328E-4	1.0191E-4	3.8339E-5	9.0753E-5
5.2862E+1	2.4862E+1	2.7050E+0	3.1114E-2	3.0421E-4	8.8508E-5	3.4954E-5	2.4259E-5
5.4729E+1	2.4865E+1	2.6217E+0	2.8214E-2	2.8712E-4	2.1238E-5	3.3438E-5	2.8387E-6
5.6662E+1	2.4864E+1	2.5291E+0	2.9463E-2	2.9917E-4	3.2240E-5	3.1847E-5	7.4797E-6
5.8663E+1	2.4864E+1	2.4723E+0	2.9150E-2	2.9709E-4	2.2799E-5	2.9529E-5	4.3660E-6
6.0735E+1	2.4864E+1	2.3786E+0	3.0337E-2	2.9818E-4	1.9316E-5	8.8724E-5	3.2170E-6
6.2881E+1	2.4865E+1	2.3039E+0	2.9631E-2	2.9502E-4	2.0154E-5	7.2008E-5	6.9904E-6
6.5102E+1	2.4868E+1	2.2241E+0	2.8923E-2	2.7983E-4	1.6579E-5	9.8504E-5	6.6050E-6
6.7401E+1	2.4867E+1	2.1510E+0	3.2073E-2	3.2704E-4	2.1729E-5	3.0430E-5	1.4441E-5
