%	Date:	2006-06-01	Time:	02:43:25
%	Sampling frequency		[Hz]:	199000
%	Generator amplitude		[V]:	0.17800
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[EU RMS]	[EU RMS]	[EU RMS]	[EU RMS]
2.0000E+1	2.4812E+1	7.0145E+0	3.5002E-2	7.4271E-4	1.5167E-5	1.2377E-4	1.4169E-5
2.0706E+1	2.4815E+1	6.7812E+0	3.4299E-2	7.2906E-4	8.7127E-6	1.1450E-4	8.0373E-6
2.1438E+1	2.4818E+1	6.5556E+0	3.3237E-2	7.0559E-4	8.6971E-6	1.1677E-4	1.3277E-6
2.2195E+1	2.4821E+1	6.3375E+0	2.7434E-2	5.7941E-4	7.4591E-6	1.1307E-4	1.8191E-6
2.2979E+1	2.4824E+1	6.1266E+0	2.1968E-2	4.5826E-4	4.9486E-6	1.1614E-4	2.3813E-6
2.3791E+1	2.4827E+1	5.9229E+0	4.5452E-2	9.7122E-4	8.9913E-6	1.1527E-4	3.4173E-6
2.4631E+1	2.4829E+1	5.7259E+0	3.3043E-2	7.0095E-4	3.9614E-6	1.1928E-4	6.7133E-6
2.5501E+1	2.4832E+1	5.5351E+0	5.4620E-2	1.1706E-3	8.6088E-6	1.0468E-4	3.4280E-6
2.6402E+1	2.4834E+1	5.3512E+0	4.8186E-2	1.0314E-3	6.5220E-6	1.0630E-4	5.6697E-6
2.7334E+1	2.4836E+1	5.1733E+0	2.0882E-2	4.3388E-4	5.3199E-6	1.1686E-4	6.7956E-6
2.8300E+1	2.4839E+1	5.0010E+0	3.5693E-2	7.5897E-4	6.2089E-6	1.1641E-4	1.8695E-5
2.9299E+1	2.4840E+1	4.8347E+0	3.3228E-2	6.9979E-4	1.0108E-5	1.1250E-4	9.4222E-5
3.0334E+1	2.4842E+1	4.6742E+0	3.4893E-2	7.3352E-4	7.5690E-6	1.1570E-4	1.1148E-4
3.1406E+1	2.4844E+1	4.5185E+0	3.4598E-2	7.3429E-4	7.4699E-6	1.1270E-4	4.9044E-5
3.2515E+1	2.4846E+1	4.3685E+0	3.3555E-2	7.1400E-4	8.2952E-6	1.0738E-4	4.3063E-6
3.3664E+1	2.4847E+1	4.2232E+0	3.4542E-2	7.3404E-4	1.2170E-5	1.1649E-4	4.5468E-6
3.4853E+1	2.4849E+1	4.0831E+0	3.3982E-2	7.2324E-4	1.3517E-5	1.0693E-4	7.8305E-6
3.6084E+1	2.4850E+1	3.9471E+0	3.3891E-2	7.2285E-4	1.4510E-5	9.5628E-5	2.8148E-6
3.7358E+1	2.4852E+1	3.8162E+0	3.4942E-2	7.2112E-4	7.1819E-6	2.1327E-4	2.6659E-6
3.8678E+1	2.4853E+1	3.6875E+0	3.4695E-2	7.1928E-4	4.5782E-6	2.0043E-4	4.7975E-6
4.0044E+1	2.4854E+1	3.5691E+0	3.3754E-2	7.2058E-4	3.9452E-6	9.1042E-5	7.9003E-6
4.1458E+1	2.4855E+1	3.4438E+0	3.4046E-2	7.2389E-4	2.5561E-6	1.1295E-4	2.4540E-6
4.2923E+1	2.4856E+1	3.3339E+0	3.3738E-2	7.1719E-4	6.3759E-6	1.1234E-4	9.8432E-6
