%	Date:	2006-06-01	Time:	02:39:46
%	Sampling frequency		[Hz]:	199000
%	Generator amplitude		[V]:	0.10400
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[EU RMS]	[EU RMS]	[EU RMS]	[EU RMS]
2.0000E+1	2.4812E+1	7.0160E+0	3.2762E-2	4.0811E-4	1.7000E-5	5.2047E-5	1.0563E-5
2.0706E+1	2.4815E+1	6.7830E+0	3.1708E-2	3.9513E-4	3.7053E-6	5.2108E-5	7.7376E-6
2.1438E+1	2.4818E+1	6.5570E+0	3.0063E-2	3.7425E-4	6.2397E-6	5.2300E-5	4.2980E-6
2.2195E+1	2.4821E+1	6.3387E+0	2.0055E-2	2.4699E-4	3.3269E-6	5.0643E-5	2.2161E-6
2.2979E+1	2.4824E+1	6.1280E+0	1.6671E-2	2.0346E-4	4.6821E-6	5.0164E-5	1.6724E-6
2.3791E+1	2.4827E+1	5.9240E+0	5.7018E-2	7.1481E-4	7.9556E-6	5.2822E-5	7.3086E-6
2.4631E+1	2.4829E+1	5.7267E+0	3.2653E-2	4.0577E-4	6.8955E-6	6.1911E-5	2.9724E-6
2.5501E+1	2.4832E+1	5.5365E+0	6.5109E-2	8.1743E-4	3.6080E-6	4.2719E-5	3.0683E-6
2.6402E+1	2.4834E+1	5.3519E+0	5.4227E-2	6.8007E-4	7.3068E-6	4.7123E-5	6.1366E-7
2.7334E+1	2.4836E+1	5.1742E+0	1.3767E-2	1.6624E-4	2.2035E-6	4.8164E-5	3.0211E-6
2.8300E+1	2.4839E+1	5.0020E+0	3.2250E-2	4.0251E-4	3.9246E-6	4.5318E-5	1.7762E-5
2.9299E+1	2.4841E+1	4.8359E+0	2.8325E-2	3.3891E-4	2.9640E-6	5.4712E-5	9.4979E-5
3.0334E+1	2.4842E+1	4.6747E+0	3.3447E-2	4.0236E-4	4.0173E-6	4.9775E-5	1.1192E-4
3.1406E+1	2.4844E+1	4.5190E+0	3.1466E-2	3.8906E-4	2.3685E-6	5.2333E-5	4.9125E-5
3.2515E+1	2.4846E+1	4.3692E+0	3.0375E-2	3.7865E-4	5.7994E-6	4.9253E-5	1.7307E-6
3.3664E+1	2.4848E+1	4.2242E+0	3.1775E-2	3.9663E-4	1.3107E-5	4.5563E-5	5.3437E-6
3.4853E+1	2.4849E+1	4.0839E+0	3.0765E-2	3.8493E-4	8.1163E-6	3.6853E-5	2.1554E-6
3.6084E+1	2.4851E+1	3.9472E+0	3.1038E-2	3.8900E-4	1.3754E-5	2.7563E-5	1.2831E-6
3.7358E+1	2.4852E+1	3.8167E+0	3.3944E-2	3.9306E-4	6.0851E-6	1.6646E-4	2.4415E-6
3.8678E+1	2.4853E+1	3.6863E+0	3.3155E-2	3.9423E-4	7.5228E-6	1.3544E-4	3.4002E-6
4.0044E+1	2.4854E+1	3.5699E+0	3.1857E-2	3.9479E-4	4.9963E-6	6.7413E-5	1.6041E-6
4.1458E+1	2.4855E+1	3.4404E+0	3.1712E-2	3.9520E-4	2.5528E-6	5.2381E-5	5.1472E-6
4.2923E+1	2.4855E+1	3.3315E+0	3.0940E-2	3.8584E-4	6.5505E-6	4.8249E-5	8.3591E-6
4.4439E+1	2.4860E+1	3.2193E+0	3.1127E-2	3.8856E-4	6.4089E-6	4.6041E-5	3.2470E-6
4.6009E+1	2.4862E+1	3.1129E+0	3.1431E-2	3.9102E-4	3.0156E-5	4.7908E-5	7.8934E-6
4.7634E+1	2.4858E+1	3.0024E+0	3.2680E-2	3.9986E-4	7.5689E-5	4.6029E-5	3.3231E-5
4.9316E+1	2.4863E+1	2.8956E+0	3.2706E-2	3.8147E-4	1.1711E-4	4.2663E-5	9.0056E-5
5.1058E+1	2.4861E+1	2.7981E+0	3.3840E-2	3.9869E-4	1.1560E-4	5.3010E-5	7.7222E-5
5.2862E+1	2.4863E+1	2.7402E+0	3.2079E-2	3.9278E-4	7.2626E-5	5.0062E-5	2.4963E-5
5.4729E+1	2.4862E+1	2.6415E+0	3.1532E-2	3.9157E-4	3.2851E-5	5.2427E-5	4.0530E-6
5.6662E+1	2.4865E+1	2.5594E+0	3.1316E-2	3.9068E-4	1.7118E-6	4.8533E-5	4.8849E-6
5.8663E+1	2.4866E+1	2.4467E+0	3.1110E-2	3.8633E-4	8.8546E-7	6.1127E-5	1.7917E-6
6.0735E+1	2.4868E+1	2.3778E+0	3.1870E-2	3.8797E-4	5.0226E-6	1.0014E-4	3.9713E-6
6.2881E+1	2.4868E+1	2.2948E+0	3.2897E-2	3.8866E-4	3.6312E-6	1.4163E-4	4.5521E-6
6.5102E+1	2.4867E+1	2.2201E+0	3.2287E-2	4.0490E-4	1.3036E-6	2.7931E-5	6.6488E-6
6.7401E+1	2.4869E+1	2.1462E+0	2.9947E-2	3.7078E-4	2.2706E-6	6.5215E-5	6.1674E-6
6.9782E+1	2.4870E+1	2.0767E+0	2.5097E-2	3.1134E-4	6.6505E-6	4.8287E-5	1.6045E-5
7.2247E+1	2.4870E+1	2.0048E+0	2.3683E-2	2.9251E-4	2.2928E-6	5.3896E-5	1.4020E-5
7.4799E+1	2.4870E+1	1.9416E+0	2.9918E-2	3.7321E-4	7.7609E-6	4.5418E-5	8.6028E-6
7.7441E+1	2.4871E+1	1.8769E+0	3.9092E-2	4.8723E-4	3.9816E-5	5.0451E-5	5.3281E-6
