%	Date:	2006-06-01	Time:	02:51:41
%	Sampling frequency		[Hz]:	199000
%	Generator amplitude		[V]:	0.44100
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[EU RMS]	[EU RMS]	[EU RMS]	[EU RMS]
2.0000E+1	2.4810E+1	7.0208E+0	3.5476E-2	1.8564E-3	7.2756E-5	3.5465E-4	2.4788E-5
2.0706E+1	2.4814E+1	6.7871E+0	3.5620E-2	1.8639E-3	8.8584E-5	3.5227E-4	2.5234E-5
2.1438E+1	2.4817E+1	6.5614E+0	3.6180E-2	1.8953E-3	8.4554E-5	3.4835E-4	2.2777E-5
2.2195E+1	2.4820E+1	6.3431E+0	3.8033E-2	1.9959E-3	9.0542E-5	3.4532E-4	2.4487E-5
2.2979E+1	2.4823E+1	6.1321E+0	4.0541E-2	2.1311E-3	8.7568E-5	3.4939E-4	2.6519E-5
2.3791E+1	2.4825E+1	5.9281E+0	3.7078E-2	1.9442E-3	8.8660E-5	3.4625E-4	2.1979E-5
2.4631E+1	2.4828E+1	5.7309E+0	3.5058E-2	1.8346E-3	8.9318E-5	3.4580E-4	2.4963E-5
2.5501E+1	2.4830E+1	5.5404E+0	2.6624E-2	1.3730E-3	8.7528E-5	3.4911E-4	2.2700E-5
2.6402E+1	2.4833E+1	5.3562E+0	2.8234E-2	1.4628E-3	8.7223E-5	3.4377E-4	2.4445E-5
2.7334E+1	2.4835E+1	5.1780E+0	4.0099E-2	2.1080E-3	8.9276E-5	3.4373E-4	2.9635E-5
2.8300E+1	2.4837E+1	5.0058E+0	3.2962E-2	1.7205E-3	8.9391E-5	3.4496E-4	4.0972E-5
2.9299E+1	2.4839E+1	4.8394E+0	3.4737E-2	1.8166E-3	8.8038E-5	3.4191E-4	7.4962E-5
3.0334E+1	2.4841E+1	4.6785E+0	3.5539E-2	1.8592E-3	8.7907E-5	3.4393E-4	8.7703E-5
3.1406E+1	2.4843E+1	4.5231E+0	3.5223E-2	1.8425E-3	9.2611E-5	3.5060E-4	2.1855E-5
