%	Date:	2006-06-01	Time:	02:41:01
%	Sampling frequency		[Hz]:	199000
%	Generator amplitude		[V]:	0.12500
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[EU RMS]	[EU RMS]	[EU RMS]	[EU RMS]
2.0000E+1	2.4812E+1	7.0147E+0	3.3345E-2	4.9909E-4	1.6032E-5	6.6522E-5	1.1817E-5
2.0706E+1	2.4815E+1	6.7816E+0	3.2982E-2	4.9346E-4	5.4302E-6	6.9532E-5	6.8976E-6
2.1438E+1	2.4818E+1	6.5559E+0	3.0577E-2	4.5698E-4	1.0384E-5	6.7660E-5	8.6640E-7
2.2195E+1	2.4821E+1	6.3377E+0	2.3048E-2	3.4160E-4	6.7216E-6	6.7682E-5	1.3587E-6
2.2979E+1	2.4824E+1	6.1265E+0	1.4284E-2	2.0570E-4	2.2126E-6	6.5444E-5	2.9406E-6
2.3791E+1	2.4827E+1	5.9232E+0	4.5973E-2	6.9120E-4	4.4140E-6	6.9571E-5	2.8612E-6
2.4631E+1	2.4829E+1	5.7262E+0	4.2147E-2	6.3321E-4	3.6190E-6	6.8354E-5	2.8807E-6
2.5501E+1	2.4832E+1	5.5353E+0	6.3832E-2	9.6258E-4	2.6182E-6	6.1900E-5	1.3433E-6
2.6402E+1	2.4834E+1	5.3513E+0	5.6830E-2	8.5672E-4	3.7527E-6	5.8903E-5	5.7459E-6
2.7334E+1	2.4836E+1	5.1733E+0	1.3888E-2	1.9828E-4	8.4394E-7	6.8870E-5	2.2267E-6
2.8300E+1	2.4839E+1	5.0011E+0	3.9010E-2	5.8540E-4	4.1181E-6	6.7788E-5	1.4514E-5
2.9299E+1	2.4840E+1	4.8348E+0	3.3113E-2	4.8776E-4	4.1728E-6	6.6458E-5	8.9997E-5
