%	Date:	2006-06-01	Time:	02:48:31
%	Sampling frequency		[Hz]:	199000
%	Generator amplitude		[V]:	0.30700
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[EU RMS]	[EU RMS]	[EU RMS]	[EU RMS]
2.0000E+1	2.4811E+1	7.0183E+0	3.5176E-2	1.2838E-3	4.5324E-5	2.3307E-4	1.1237E-5
2.0706E+1	2.4814E+1	6.7846E+0	3.5341E-2	1.2883E-3	5.6404E-5	2.4002E-4	7.3646E-6
2.1438E+1	2.4817E+1	6.5591E+0	3.6440E-2	1.3314E-3	5.3080E-5	2.3214E-4	8.8666E-6
2.2195E+1	2.4820E+1	6.3409E+0	3.8958E-2	1.4261E-3	5.7926E-5	2.3198E-4	5.0231E-6
2.2979E+1	2.4823E+1	6.1298E+0	4.2879E-2	1.5733E-3	5.5242E-5	2.3314E-4	7.0953E-6
2.3791E+1	2.4826E+1	5.9260E+0	3.9488E-2	1.4460E-3	5.4788E-5	2.3277E-4	5.5260E-6
2.4631E+1	2.4828E+1	5.7289E+0	3.3892E-2	1.2359E-3	5.5027E-5	2.2802E-4	8.3241E-6
2.5501E+1	2.4831E+1	5.5382E+0	2.3064E-2	8.2076E-4	5.0406E-5	2.3831E-4	6.6176E-6
2.6402E+1	2.4833E+1	5.3540E+0	2.4365E-2	8.7105E-4	5.5302E-5	2.3700E-4	4.1567E-6
2.7334E+1	2.4835E+1	5.1762E+0	4.1726E-2	1.5298E-3	5.9935E-5	2.3334E-4	1.0166E-5
2.8300E+1	2.4838E+1	5.0039E+0	3.1177E-2	1.1317E-3	5.5928E-5	2.3405E-4	2.2418E-5
2.9299E+1	2.4840E+1	4.8376E+0	3.3932E-2	1.2341E-3	5.6955E-5	2.3017E-4	8.4422E-5
3.0334E+1	2.4841E+1	4.6765E+0	3.5747E-2	1.3007E-3	5.8252E-5	2.3119E-4	1.0860E-4
3.1406E+1	2.4843E+1	4.5212E+0	3.4878E-2	1.2715E-3	6.2448E-5	2.3147E-4	4.1575E-5
3.2515E+1	2.4845E+1	4.3708E+0	3.4978E-2	1.2755E-3	6.4757E-5	2.3321E-4	7.4032E-6
3.3664E+1	2.4846E+1	4.2254E+0	3.4748E-2	1.2673E-3	6.2790E-5	2.3090E-4	5.1612E-6
3.4853E+1	2.4848E+1	4.0851E+0	3.4890E-2	1.2722E-3	5.3833E-5	2.3595E-4	7.6735E-6
3.6084E+1	2.4850E+1	3.9494E+0	3.4994E-2	1.2747E-3	5.4848E-5	2.4332E-4	4.5605E-6
3.7358E+1	2.4851E+1	3.8177E+0	3.5227E-2	1.2771E-3	5.3199E-5	2.7550E-4	4.9330E-6
3.8678E+1	2.4852E+1	3.6910E+0	3.5302E-2	1.2778E-3	5.9923E-5	2.8359E-4	8.0540E-6
4.0044E+1	2.4853E+1	3.5675E+0	3.4792E-2	1.2754E-3	5.7393E-5	1.9394E-4	8.6925E-6
4.1458E+1	2.4855E+1	3.4491E+0	3.4771E-2	1.2693E-3	5.4508E-5	2.2715E-4	9.1257E-6
4.2923E+1	2.4856E+1	3.3324E+0	3.4701E-2	1.2673E-3	5.4011E-5	2.2324E-4	1.9525E-6
4.4439E+1	2.4857E+1	3.2282E+0	3.5000E-2	1.2782E-3	5.8632E-5	2.2454E-4	4.2861E-6
4.6009E+1	2.4858E+1	3.1217E+0	3.4779E-2	1.2688E-3	5.1719E-5	2.3185E-4	9.7248E-7
4.7634E+1	2.4859E+1	3.0097E+0	3.4959E-2	1.2699E-3	1.2313E-4	2.3320E-4	4.0714E-5
4.9316E+1	2.4861E+1	2.9152E+0	3.5324E-2	1.2798E-3	1.4865E-4	2.2450E-4	9.2888E-5
5.1058E+1	2.4862E+1	2.8145E+0	3.4814E-2	1.2677E-3	5.8004E-5	2.3194E-4	7.5018E-5
5.2862E+1	2.4861E+1	2.7257E+0	3.4771E-2	1.2629E-3	1.2927E-4	2.3059E-4	3.0403E-5
5.4729E+1	2.4862E+1	2.6307E+0	3.4811E-2	1.2713E-3	1.7849E-5	2.3009E-4	6.9169E-6
5.6662E+1	2.4863E+1	2.5472E+0	3.4738E-2	1.2674E-3	5.5911E-5	2.2981E-4	9.2588E-6
5.8663E+1	2.4865E+1	2.4604E+0	3.4951E-2	1.2712E-3	6.6301E-5	2.5021E-4	2.5889E-6
6.0735E+1	2.4865E+1	2.3819E+0	3.4700E-2	1.2663E-3	6.1715E-5	2.2663E-4	9.1902E-6
6.2881E+1	2.4866E+1	2.3015E+0	3.5153E-2	1.2716E-3	5.4420E-5	2.8758E-4	8.7290E-6
6.5102E+1	2.4867E+1	2.2219E+0	3.4034E-2	1.2516E-3	5.4088E-5	1.6144E-4	9.4005E-6
6.7401E+1	2.4868E+1	2.1506E+0	3.4991E-2	1.2782E-3	5.0722E-5	2.2354E-4	2.1244E-5
6.9782E+1	2.4868E+1	2.0790E+0	3.6807E-2	1.3461E-3	5.1981E-5	2.2679E-4	9.7747E-6
7.2247E+1	2.4869E+1	2.0090E+0	3.7389E-2	1.3685E-3	5.4222E-5	2.2329E-4	1.4231E-5
7.4799E+1	2.4869E+1	1.9417E+0	3.5779E-2	1.3069E-3	6.6731E-5	2.2589E-4	4.2333E-6
7.7441E+1	2.4870E+1	1.8774E+0	3.2589E-2	1.1844E-3	9.0534E-5	2.2851E-4	4.3647E-6
8.0176E+1	2.4871E+1	1.8146E+0	3.2646E-2	1.1903E-3	2.2442E-5	2.2595E-4	7.5567E-6
8.3008E+1	2.4871E+1	1.7541E+0	3.6372E-2	1.3225E-3	1.4667E-4	2.2771E-4	1.0124E-5
8.5940E+1	2.4872E+1	1.6955E+0	3.4038E-2	1.2394E-3	1.1976E-4	2.1364E-4	1.6817E-6
8.8976E+1	2.4872E+1	1.6388E+0	3.4369E-2	1.2526E-3	2.0034E-5	2.4051E-4	1.2044E-5
9.2118E+1	2.4873E+1	1.5840E+0	3.4611E-2	1.2644E-3	4.6386E-5	2.2183E-4	1.4555E-5
9.5372E+1	2.4873E+1	1.5307E+0	3.4531E-2	1.2600E-3	5.7868E-5	2.2731E-4	6.6114E-6
9.8741E+1	2.4874E+1	1.4798E+0	3.4265E-2	1.2514E-3	5.6273E-5	2.1989E-4	7.6404E-6
1.0223E+2	2.4874E+1	1.4300E+0	3.4570E-2	1.2614E-3	5.9467E-5	2.2725E-4	6.2901E-6
1.0584E+2	2.4875E+1	1.3815E+0	3.4448E-2	1.2571E-3	5.7524E-5	2.2570E-4	1.2931E-5
1.0958E+2	2.4875E+1	1.3349E+0	3.5011E-2	1.2800E-3	5.7205E-5	2.1401E-4	3.6156E-5
1.1345E+2	2.4875E+1	1.2900E+0	3.3242E-2	1.2153E-3	6.5559E-5	2.0156E-4	2.4279E-5
1.1746E+2	2.4876E+1	1.2462E+0	3.6185E-2	1.3207E-3	6.9687E-5	2.3368E-4	7.8923E-6
1.2160E+2	2.4876E+1	1.2042E+0	3.3975E-2	1.2387E-3	6.4852E-5	2.2715E-4	1.3164E-5
1.2590E+2	2.4877E+1	1.1630E+0	3.3620E-2	1.2261E-3	5.7305E-5	2.2470E-4	8.1147E-6
1.3035E+2	2.4877E+1	1.1236E+0	3.5048E-2	1.2823E-3	5.6236E-5	2.1119E-4	6.2572E-6
1.3495E+2	2.4877E+1	1.0848E+0	3.6424E-2	1.3302E-3	6.0128E-5	2.3355E-4	1.1764E-5
1.3972E+2	2.4878E+1	1.0471E+0	3.3172E-2	1.2141E-3	5.9724E-5	1.9507E-4	1.1731E-5
1.4465E+2	2.4878E+1	1.0130E+0	3.3818E-2	1.2333E-3	5.0683E-5	2.2803E-4	7.8495E-6
1.4976E+2	2.4878E+1	9.7783E-1	3.4001E-2	1.2428E-3	4.3987E-5	2.1370E-4	2.2701E-5
1.5505E+2	2.4879E+1	9.4372E-1	3.4601E-2	1.2638E-3	5.3481E-5	2.2148E-4	9.4123E-6
1.6053E+2	2.4879E+1	9.1123E-1	3.4294E-2	1.2547E-3	3.8373E-5	2.1071E-4	7.5362E-6
1.6620E+2	2.4879E+1	8.7900E-1	3.4069E-2	1.2455E-3	5.8071E-5	2.0735E-4	3.8027E-5
1.7207E+2	2.4880E+1	8.4882E-1	3.3639E-2	1.2305E-3	5.8430E-5	2.0225E-4	2.1469E-5
1.7815E+2	2.4880E+1	8.1777E-1	3.3429E-2	1.2202E-3	3.4346E-5	2.2130E-4	2.0727E-5
1.8444E+2	2.4880E+1	7.8993E-1	3.4324E-2	1.2568E-3	3.3129E-5	2.0348E-4	2.8584E-5
1.9095E+2	2.4880E+1	7.6189E-1	3.4385E-2	1.2608E-3	3.6348E-5	1.9288E-4	2.6123E-5
1.9770E+2	2.4881E+1	7.3397E-1	3.3068E-2	1.2054E-3	4.1662E-5	2.2718E-4	1.5236E-5
2.0468E+2	2.4881E+1	7.0849E-1	3.4022E-2	1.2431E-3	5.9626E-5	2.1378E-4	1.3105E-5
2.1191E+2	2.4881E+1	6.8304E-1	3.3669E-2	1.2246E-3	6.3354E-5	2.3898E-4	3.0168E-5
2.1940E+2	2.4881E+1	6.5832E-1	3.3546E-2	1.2280E-3	4.0247E-5	2.0144E-4	7.5469E-6
2.2715E+2	2.4882E+1	6.3270E-1	3.4325E-2	1.2524E-3	4.6928E-5	2.2813E-4	2.2462E-5
2.3517E+2	2.4882E+1	6.1100E-1	3.3172E-2	1.2131E-3	5.2312E-5	2.0233E-4	2.6102E-5
2.4348E+2	2.4882E+1	5.8774E-1	3.2785E-2	1.2008E-3	4.5129E-5	1.9068E-4	2.1274E-5
2.5208E+2	2.4883E+1	5.6490E-1	3.2775E-2	1.1987E-3	5.0626E-5	2.0027E-4	1.7028E-5
2.6098E+2	2.4883E+1	5.4366E-1	3.2706E-2	1.1951E-3	5.0060E-5	2.0640E-4	1.8024E-5
2.7020E+2	2.4883E+1	5.2336E-1	3.2196E-2	1.1769E-3	4.9861E-5	1.9952E-4	2.5511E-5
2.7974E+2	2.4883E+1	5.0332E-1	3.3662E-2	1.2302E-3	8.3873E-5	2.0165E-4	5.6412E-6
2.8962E+2	2.4883E+1	4.8290E-1	3.2940E-2	1.2071E-3	3.5441E-5	1.9068E-4	9.9562E-6
2.9985E+2	2.4883E+1	4.6308E-1	3.2753E-2	1.1985E-3	5.7095E-5	1.9541E-4	7.0680E-6
3.1045E+2	2.4884E+1	4.4472E-1	3.2625E-2	1.1897E-3	6.2483E-5	2.1680E-4	4.2234E-6
3.2141E+2	2.4884E+1	4.2622E-1	3.2465E-2	1.1858E-3	5.6734E-5	2.0603E-4	1.4658E-5
3.3276E+2	2.4884E+1	4.0890E-1	3.2342E-2	1.1830E-3	4.8634E-5	1.9694E-4	1.7963E-5
3.4452E+2	2.4884E+1	3.9125E-1	3.2632E-2	1.1948E-3	5.0991E-5	1.9099E-4	1.5759E-5
3.5669E+2	2.4884E+1	3.7427E-1	3.2060E-2	1.1715E-3	7.8092E-5	1.9301E-4	1.6470E-5
3.6928E+2	2.4884E+1	3.5764E-1	3.2434E-2	1.1845E-3	4.8006E-5	2.0879E-4	1.4029E-5
3.8233E+2	2.4885E+1	3.4155E-1	3.2083E-2	1.1732E-3	5.2839E-5	1.9663E-4	1.6411E-5
3.9583E+2	2.4885E+1	3.2575E-1	3.1813E-2	1.1637E-3	5.3410E-5	1.9259E-4	1.5350E-5
4.0981E+2	2.4885E+1	3.1020E-1	3.0967E-2	1.1327E-3	3.8863E-5	1.9081E-4	1.2681E-5
4.2429E+2	2.4885E+1	2.9513E-1	3.2063E-2	1.1732E-3	6.4518E-5	1.8823E-4	1.6515E-5
4.3928E+2	2.4885E+1	2.8012E-1	3.1096E-2	1.1379E-3	7.0827E-5	1.7957E-4	5.5343E-6
4.5479E+2	2.4885E+1	2.6594E-1	3.1404E-2	1.1489E-3	4.7302E-5	1.9047E-4	1.3625E-5
4.7086E+2	2.4885E+1	2.5132E-1	3.1753E-2	1.1617E-3	5.4585E-5	1.9019E-4	1.3482E-5
4.8749E+2	2.4886E+1	2.3763E-1	3.1277E-2	1.1443E-3	7.8911E-5	1.7784E-4	1.9303E-5
5.0471E+2	2.4886E+1	2.2372E-1	3.1024E-2	1.1345E-3	6.9934E-5	1.8370E-4	1.7462E-5
5.2254E+2	2.4886E+1	2.1028E-1	3.1498E-2	1.1531E-3	5.9259E-5	1.8184E-4	2.1010E-5
5.4099E+2	2.4886E+1	1.9646E-1	3.0273E-2	1.1051E-3	6.9667E-5	1.9027E-4	1.8610E-5
5.6010E+2	2.4886E+1	1.8369E-1	3.0613E-2	1.1160E-3	6.7431E-5	2.0055E-4	3.1296E-5
5.7988E+2	2.4886E+1	1.7105E-1	3.0198E-2	1.1020E-3	7.1555E-5	1.8986E-4	2.8357E-5
6.0037E+2	2.4886E+1	1.5798E-1	3.0182E-2	1.1022E-3	7.2625E-5	1.8472E-4	2.5145E-5
6.2157E+2	2.4886E+1	1.4561E-1	2.9508E-2	1.0775E-3	6.7975E-5	1.8377E-4	8.3676E-6
6.4353E+2	2.4886E+1	1.3297E-1	2.9674E-2	1.0847E-3	6.0134E-5	1.7956E-4	2.3796E-5
6.6626E+2	2.4886E+1	1.2071E-1	2.9277E-2	1.0688E-3	6.2053E-5	1.8449E-4	2.5784E-5
6.8979E+2	2.4887E+1	1.0844E-1	2.9478E-2	1.0759E-3	7.4465E-5	1.8190E-4	2.9567E-5
7.1416E+2	2.4887E+1	9.6222E-2	2.9008E-2	1.0575E-3	7.1368E-5	1.8552E-4	3.8942E-5
7.3938E+2	2.4887E+1	8.3980E-2	2.9208E-2	1.0653E-3	8.0480E-5	1.8257E-4	2.4985E-5
7.6550E+2	2.4887E+1	7.2339E-2	2.8987E-2	1.0567E-3	7.9667E-5	1.8435E-4	2.2684E-5
7.9254E+2	2.4887E+1	6.0416E-2	2.9349E-2	1.0713E-3	8.7687E-5	1.7544E-4	2.3059E-5
8.2053E+2	2.4887E+1	4.8210E-2	2.8899E-2	1.0540E-3	7.7062E-5	1.8095E-4	3.1162E-5
8.4951E+2	2.4887E+1	3.6320E-2	2.8988E-2	1.0560E-3	9.3350E-5	1.8110E-4	3.2430E-5
8.7952E+2	2.4887E+1	2.4429E-2	2.8590E-2	1.0428E-3	8.0337E-5	1.7617E-4	3.2718E-5
9.1059E+2	2.4887E+1	1.2631E-2	2.8700E-2	1.0449E-3	9.2301E-5	1.8209E-4	3.5145E-5
9.4275E+2	2.4887E+1	8.5880E-4	2.8323E-2	1.0318E-3	9.2462E-5	1.7585E-4	3.2598E-5
9.7605E+2	2.4887E+1	-1.0854E-2	2.8598E-2	1.0428E-3	8.0147E-5	1.7861E-4	3.0595E-5
1.0105E+3	2.4888E+1	-2.2864E-2	2.8132E-2	1.0235E-3	8.9744E-5	1.8114E-4	4.3279E-5
1.0462E+3	2.4888E+1	-3.5010E-2	2.8076E-2	1.0204E-3	8.8894E-5	1.8605E-4	4.7403E-5
1.0832E+3	2.4888E+1	-4.7183E-2	2.8099E-2	1.0217E-3	9.2984E-5	1.8368E-4	3.9216E-5
1.1214E+3	2.4888E+1	-5.9107E-2	2.7974E-2	1.0179E-3	9.3422E-5	1.7561E-4	4.8706E-5
1.1610E+3	2.4888E+1	-7.1644E-2	2.7913E-2	1.0148E-3	9.2633E-5	1.8133E-4	4.6286E-5
1.2021E+3	2.4888E+1	-8.3606E-2	2.7824E-2	1.0118E-3	8.9175E-5	1.8060E-4	4.6849E-5
