%	Date:	2006-06-01	Time:	02:58:03
%	Sampling frequency		[Hz]:	199000
%	Generator amplitude		[V]:	0.88600
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[EU RMS]	[EU RMS]	[EU RMS]	[EU RMS]
2.0000E+1	2.4812E+1	7.0193E+0	3.5463E-2	3.7270E-3	1.5772E-4	7.1706E-4	5.8211E-5
2.0706E+1	2.4815E+1	6.7855E+0	3.5521E-2	3.7327E-3	1.9122E-4	7.1167E-4	5.5626E-5
2.1438E+1	2.4818E+1	6.5599E+0	3.5813E-2	3.7655E-3	1.8848E-4	7.0752E-4	6.0120E-5
2.2195E+1	2.4821E+1	6.3417E+0	3.6647E-2	3.8571E-3	1.9017E-4	7.0439E-4	5.4375E-5
2.2979E+1	2.4824E+1	6.1307E+0	3.8012E-2	4.0068E-3	1.9063E-4	6.9807E-4	5.7700E-5
2.3791E+1	2.4827E+1	5.9267E+0	3.5418E-2	3.7242E-3	1.8230E-4	6.9994E-4	5.6537E-5
2.4631E+1	2.4829E+1	5.7295E+0	3.6068E-2	3.7939E-3	1.9287E-4	7.0353E-4	5.9863E-5
2.5501E+1	2.4832E+1	5.5390E+0	3.1268E-2	3.2710E-3	1.8958E-4	6.9396E-4	5.9787E-5
2.6402E+1	2.4834E+1	5.3547E+0	3.2805E-2	3.4388E-3	1.9081E-4	6.9657E-4	6.0592E-5
2.7334E+1	2.4836E+1	5.1766E+0	3.7946E-2	4.0003E-3	1.9502E-4	6.9248E-4	6.5206E-5
2.8300E+1	2.4838E+1	5.0044E+0	3.5166E-2	3.6971E-3	1.9367E-4	6.9466E-4	5.8027E-5
2.9299E+1	2.4840E+1	4.8381E+0	3.5646E-2	3.7487E-3	1.9941E-4	6.8382E-4	1.4913E-4
3.0334E+1	2.4842E+1	4.6772E+0	3.5040E-2	3.6805E-3	2.0048E-4	6.9174E-4	1.5894E-4
3.1406E+1	2.4844E+1	4.5216E+0	3.5123E-2	3.6926E-3	1.9018E-4	6.8953E-4	1.0372E-4
3.2515E+1	2.4846E+1	4.3713E+0	3.5244E-2	3.7075E-3	1.8191E-4	6.8727E-4	6.0187E-5
3.3664E+1	2.4847E+1	4.2260E+0	3.5058E-2	3.6867E-3	1.8850E-4	6.8836E-4	5.6942E-5
3.4853E+1	2.4849E+1	4.0855E+0	3.5137E-2	3.6920E-3	1.9151E-4	7.0543E-4	5.8871E-5
3.6084E+1	2.4850E+1	3.9498E+0	3.5146E-2	3.6821E-3	2.0376E-4	7.5728E-4	6.1050E-5
3.7358E+1	2.4852E+1	3.8186E+0	3.4864E-2	3.6808E-3	1.9843E-4	5.9841E-4	5.3746E-5
3.8678E+1	2.4853E+1	3.6921E+0	3.4989E-2	3.6839E-3	1.9727E-4	6.5996E-4	6.0076E-5
4.0044E+1	2.4854E+1	3.5689E+0	3.4914E-2	3.6759E-3	1.9734E-4	6.5957E-4	5.6267E-5
4.1458E+1	2.4855E+1	3.4515E+0	3.5007E-2	3.6821E-3	2.0010E-4	6.7980E-4	6.0573E-5
4.2923E+1	2.4857E+1	3.3366E+0	3.4971E-2	3.6776E-3	2.0327E-4	6.8242E-4	5.6327E-5
4.4439E+1	2.4857E+1	3.2249E+0	3.5006E-2	3.6816E-3	2.0237E-4	6.8202E-4	5.7530E-5
4.6009E+1	2.4859E+1	3.1175E+0	3.4884E-2	3.6699E-3	1.7630E-4	6.8017E-4	5.4213E-5
4.7634E+1	2.4860E+1	3.0161E+0	3.5078E-2	3.6871E-3	2.1623E-4	6.8585E-4	9.4059E-5
4.9316E+1	2.4861E+1	2.9154E+0	3.4979E-2	3.6692E-3	3.1290E-4	6.7961E-4	1.3578E-4
5.1058E+1	2.4862E+1	2.8195E+0	3.4971E-2	3.6808E-3	1.4828E-4	6.8020E-4	3.9776E-5
5.2862E+1	2.4863E+1	2.7220E+0	3.4802E-2	3.6574E-3	2.3193E-4	6.8138E-4	6.6553E-5
5.4729E+1	2.4864E+1	2.6334E+0	3.4942E-2	3.6750E-3	2.0820E-4	6.7783E-4	5.4818E-5
5.6662E+1	2.4865E+1	2.5445E+0	3.4778E-2	3.6570E-3	2.0126E-4	6.8053E-4	5.6478E-5
5.8663E+1	2.4865E+1	2.4621E+0	3.4883E-2	3.6694E-3	1.9546E-4	6.7702E-4	5.8434E-5
6.0735E+1	2.4866E+1	2.3786E+0	3.4802E-2	3.6450E-3	2.0349E-4	7.5473E-4	5.4471E-5
6.2881E+1	2.4867E+1	2.2999E+0	3.4915E-2	3.6494E-3	2.0499E-4	7.9178E-4	5.7755E-5
6.5102E+1	2.4867E+1	2.2245E+0	3.4748E-2	3.6492E-3	2.0921E-4	7.0268E-4	5.1173E-5
6.7401E+1	2.4868E+1	2.1496E+0	3.4431E-2	3.6111E-3	2.1779E-4	7.1655E-4	6.4284E-5
6.9782E+1	2.4869E+1	2.0779E+0	3.3846E-2	3.5492E-3	2.1537E-4	7.0634E-4	6.9610E-5
7.2247E+1	2.4869E+1	2.0091E+0	3.3805E-2	3.5450E-3	2.1281E-4	7.0663E-4	5.8946E-5
7.4799E+1	2.4870E+1	1.9422E+0	3.4070E-2	3.5738E-3	2.0901E-4	7.0877E-4	5.3917E-5
7.7441E+1	2.4871E+1	1.8772E+0	3.5205E-2	3.7007E-3	1.8292E-4	7.0174E-4	4.9809E-5
8.0176E+1	2.4871E+1	1.8147E+0	3.5370E-2	3.7079E-3	2.9659E-4	7.2008E-4	5.1257E-5
8.3008E+1	2.4872E+1	1.7541E+0	3.3842E-2	3.5531E-3	1.2047E-4	7.0871E-4	4.6787E-5
8.5940E+1	2.4872E+1	1.6955E+0	3.4958E-2	3.6615E-3	2.8975E-4	7.2908E-4	4.8955E-5
8.8976E+1	2.4873E+1	1.6389E+0	3.4545E-2	3.6221E-3	2.8355E-4	7.0251E-4	4.4092E-5
9.2118E+1	2.4873E+1	1.5839E+0	3.4469E-2	3.6192E-3	2.0835E-4	7.0071E-4	4.8866E-5
9.5372E+1	2.4874E+1	1.5309E+0	3.4529E-2	3.6240E-3	2.2153E-4	7.0469E-4	5.8599E-5
9.8741E+1	2.4874E+1	1.4794E+0	3.4364E-2	3.6114E-3	2.1421E-4	6.7946E-4	5.2469E-5
1.0223E+2	2.4875E+1	1.4298E+0	3.4653E-2	3.6423E-3	2.2037E-4	6.8069E-4	5.1205E-5
1.0584E+2	2.4875E+1	1.3816E+0	3.4367E-2	3.6115E-3	2.2421E-4	6.7668E-4	5.9163E-5
1.0958E+2	2.4876E+1	1.3350E+0	3.4691E-2	3.6498E-3	2.1478E-4	6.6532E-4	3.4569E-5
1.1345E+2	2.4876E+1	1.2900E+0	3.4392E-2	3.6164E-3	2.2969E-4	6.6323E-4	5.4546E-5
1.1746E+2	2.4876E+1	1.2463E+0	3.4853E-2	3.6654E-3	2.3572E-4	6.6783E-4	5.4826E-5
1.2160E+2	2.4877E+1	1.2043E+0	3.4043E-2	3.5760E-3	2.4069E-4	6.7215E-4	4.7604E-5
1.2590E+2	2.4877E+1	1.1629E+0	3.3766E-2	3.5491E-3	2.0774E-4	6.6337E-4	7.2227E-5
1.3035E+2	2.4878E+1	1.1232E+0	3.4560E-2	3.6357E-3	2.1144E-4	6.6416E-4	4.6977E-5
1.3495E+2	2.4878E+1	1.0854E+0	3.5057E-2	3.6894E-3	2.1648E-4	6.6562E-4	4.5197E-5
1.3972E+2	2.4878E+1	1.0479E+0	3.3689E-2	3.5415E-3	2.3044E-4	6.5332E-4	5.4119E-5
1.4465E+2	2.4879E+1	1.0125E+0	3.4334E-2	3.6086E-3	2.4703E-4	6.6395E-4	6.2828E-5
1.4976E+2	2.4879E+1	9.7766E-1	3.4119E-2	3.5900E-3	2.3151E-4	6.4401E-4	5.3104E-5
