%	Date:	2006-06-01	Time:	02:37:04
%	Sampling frequency		[Hz]:	199000
%	Generator amplitude		[V]:	0.072000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[EU RMS]	[EU RMS]	[EU RMS]	[EU RMS]
2.0000E+1	2.4811E+1	7.0159E+0	2.4529E-2	2.1165E-4	2.0133E-5	1.5936E-5	1.0067E-5
2.0706E+1	2.4815E+1	6.7827E+0	2.2759E-2	1.9664E-4	1.4832E-5	1.4405E-5	1.1315E-5
2.1438E+1	2.4818E+1	6.5572E+0	1.9990E-2	1.7216E-4	2.0187E-5	1.2088E-5	8.0162E-6
2.2195E+1	2.4821E+1	6.3390E+0	6.2443E-3	5.0125E-5	1.5978E-5	1.1681E-5	7.0418E-6
2.2979E+1	2.4824E+1	6.1280E+0	1.2468E-2	1.0645E-4	1.5444E-5	1.3412E-5	4.8045E-6
2.3791E+1	2.4827E+1	5.9239E+0	5.9082E-2	5.1329E-4	2.1423E-5	1.7485E-5	8.5285E-6
2.4631E+1	2.4829E+1	5.7275E+0	5.9555E-2	5.1738E-4	1.9787E-5	2.0249E-5	7.9748E-6
2.5501E+1	2.4832E+1	5.5363E+0	8.0919E-2	7.0384E-4	1.1624E-5	1.3298E-5	7.7063E-6
2.6402E+1	2.4834E+1	5.3526E+0	7.0244E-2	6.1100E-4	1.4942E-5	6.6730E-6	3.5510E-6
2.7334E+1	2.4836E+1	5.1741E+0	1.4335E-2	1.2224E-4	1.7121E-5	1.7811E-5	2.8985E-6
2.8300E+1	2.4839E+1	5.0018E+0	4.0191E-2	3.4867E-4	1.4741E-5	1.3464E-5	1.8395E-5
2.9299E+1	2.4840E+1	4.8356E+0	2.9288E-2	2.3339E-4	1.4031E-5	1.3284E-5	1.0088E-4
3.0334E+1	2.4842E+1	4.6756E+0	2.6862E-2	1.9768E-4	2.0548E-5	1.5474E-5	1.2248E-4
3.1406E+1	2.4844E+1	4.5198E+0	2.5297E-2	2.1189E-4	2.1538E-5	1.5678E-5	5.3568E-5
3.2515E+1	2.4846E+1	4.3695E+0	2.3657E-2	2.0391E-4	2.3713E-5	1.4100E-5	5.9529E-6
3.3664E+1	2.4847E+1	4.2241E+0	2.5475E-2	2.1954E-4	2.2295E-5	1.9659E-5	7.7594E-6
