%	Date:	2006-06-01	Time:	03:44:35
%	Sampling frequency		[Hz]:	199000
%	Generator amplitude		[V]:	0.75900
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[EU RMS]	[EU RMS]	[EU RMS]	[EU RMS]
2.0000E+1	2.4812E+1	6.9689E+0	3.3969E-2	3.0697E-3	1.4366E-4	5.3155E-4	4.5246E-5
2.0706E+1	2.4815E+1	6.7368E+0	3.3908E-2	3.0645E-3	1.5724E-4	5.2506E-4	4.4343E-5
2.1438E+1	2.4818E+1	6.5125E+0	3.3957E-2	3.0709E-3	1.6429E-4	5.1116E-4	4.9879E-5
2.2195E+1	2.4821E+1	6.2957E+0	3.3578E-2	3.0357E-3	1.5899E-4	5.1185E-4	5.2592E-5
2.2979E+1	2.4824E+1	6.0860E+0	3.3552E-2	3.0347E-3	1.5682E-4	5.0430E-4	4.9716E-5
2.3791E+1	2.4827E+1	5.8833E+0	3.4807E-2	3.1513E-3	1.6855E-4	5.0267E-4	4.4796E-5
2.4631E+1	2.4829E+1	5.6875E+0	3.2191E-2	2.9077E-3	1.6065E-4	5.0359E-4	4.9217E-5
2.5501E+1	2.4832E+1	5.4981E+0	3.3888E-2	3.0667E-3	1.6273E-4	4.9733E-4	5.3828E-5
2.6402E+1	2.4834E+1	5.3150E+0	3.3415E-2	3.0238E-3	1.5839E-4	4.9203E-4	5.0429E-5
2.7334E+1	2.4836E+1	5.1382E+0	3.2737E-2	2.9602E-3	1.6102E-4	4.9388E-4	5.2833E-5
2.8300E+1	2.4838E+1	4.9671E+0	3.3204E-2	3.0037E-3	1.6642E-4	4.9212E-4	5.1420E-5
2.9299E+1	2.4840E+1	4.8017E+0	3.3142E-2	2.9983E-3	1.6440E-4	4.9144E-4	4.1577E-5
3.0334E+1	2.4842E+1	4.6419E+0	3.3368E-2	3.0202E-3	1.6606E-4	4.8674E-4	2.6546E-5
3.1406E+1	2.4844E+1	4.4875E+0	3.3254E-2	3.0096E-3	1.6143E-4	4.8773E-4	3.8850E-5
3.2515E+1	2.4845E+1	4.3382E+0	3.3156E-2	3.0000E-3	1.6480E-4	4.8823E-4	5.0910E-5
3.3664E+1	2.4847E+1	4.1939E+0	3.3282E-2	3.0131E-3	1.5933E-4	4.8147E-4	5.0522E-5
3.4853E+1	2.4848E+1	4.0543E+0	3.3150E-2	3.0013E-3	1.6479E-4	4.7639E-4	5.0434E-5
3.6084E+1	2.4850E+1	3.9195E+0	3.3221E-2	3.0089E-3	1.6868E-4	4.6875E-4	4.7669E-5
3.7358E+1	2.4851E+1	3.7891E+0	3.3208E-2	3.0040E-3	1.6534E-4	4.9344E-4	4.7615E-5
3.8678E+1	2.4852E+1	3.6630E+0	3.3198E-2	3.0022E-3	1.6942E-4	4.9740E-4	5.0194E-5
4.0044E+1	2.4854E+1	3.5416E+0	3.3029E-2	2.9918E-3	1.6622E-4	4.6500E-4	4.7998E-5
4.1458E+1	2.4855E+1	3.4232E+0	3.3045E-2	2.9915E-3	1.6888E-4	4.7509E-4	5.4337E-5
4.2923E+1	2.4856E+1	3.3100E+0	3.2999E-2	2.9876E-3	1.6736E-4	4.7414E-4	4.3908E-5
