%	Date:	2006-06-01	Time:	03:32:58
%	Sampling frequency		[Hz]:	199000
%	Generator amplitude		[V]:	0.085000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[EU RMS]	[EU RMS]	[EU RMS]	[EU RMS]
2.0000E+1	2.4812E+1	6.9714E+0	1.0440E-2	1.0544E-4	1.7566E-5	5.6637E-6	7.4970E-6
2.0706E+1	2.4815E+1	6.7391E+0	1.0451E-2	1.0536E-4	1.7897E-5	5.6726E-6	9.3675E-6
2.1438E+1	2.4818E+1	6.5147E+0	1.1755E-2	1.1936E-4	1.8432E-5	1.4508E-6	3.0796E-6
2.2195E+1	2.4821E+1	6.2977E+0	1.3810E-2	1.4015E-4	2.1426E-5	2.6130E-6	6.3159E-6
2.2979E+1	2.4824E+1	6.0879E+0	1.7485E-2	1.7866E-4	1.8539E-5	4.2553E-6	3.8619E-6
2.3791E+1	2.4827E+1	5.8853E+0	1.5706E-2	1.6004E-4	2.0047E-5	2.8546E-6	6.0793E-6
2.4631E+1	2.4829E+1	5.6897E+0	1.5041E-2	1.5339E-4	1.6770E-5	8.7252E-6	3.6493E-6
2.5501E+1	2.4831E+1	5.5000E+0	3.1873E-3	2.5290E-5	1.9840E-5	5.8470E-6	2.6536E-6
2.6402E+1	2.4834E+1	5.3168E+0	4.3665E-3	4.0450E-5	1.7795E-5	3.5280E-6	7.0731E-6
2.7334E+1	2.4836E+1	5.1400E+0	1.7648E-2	1.8020E-4	1.8489E-5	4.2721E-6	8.5758E-6
2.8300E+1	2.4838E+1	4.9693E+0	8.1850E-3	8.0680E-5	2.0844E-5	3.8017E-6	1.1008E-5
2.9299E+1	2.4840E+1	4.8033E+0	1.0528E-2	1.0177E-4	2.2949E-5	3.5683E-6	2.8633E-5
3.0334E+1	2.4842E+1	4.6439E+0	1.1041E-2	1.0719E-4	2.1889E-5	2.9859E-6	3.0131E-5
3.1406E+1	2.4843E+1	4.4895E+0	1.0589E-2	1.0516E-4	2.4504E-5	3.8982E-6	1.3127E-5
3.2515E+1	2.4845E+1	4.3397E+0	1.0310E-2	1.0429E-4	1.7430E-5	2.0034E-6	6.8421E-6
3.3664E+1	2.4847E+1	4.1956E+0	1.0080E-2	1.0073E-4	2.3983E-5	3.4634E-6	6.9457E-7
3.4853E+1	2.4848E+1	4.0561E+0	1.0169E-2	1.0260E-4	1.9511E-5	2.9390E-6	3.0017E-6
3.6084E+1	2.4850E+1	3.9215E+0	1.0093E-2	9.9432E-5	2.0310E-5	2.0872E-5	5.5354E-6
3.7358E+1	2.4851E+1	3.7899E+0	1.0340E-2	1.0040E-4	1.8840E-5	2.8874E-5	5.5402E-6
3.8678E+1	2.4853E+1	3.6654E+0	1.0104E-2	9.8397E-5	2.1699E-5	2.4283E-5	6.8403E-6
4.0044E+1	2.4854E+1	3.5401E+0	9.8888E-3	9.8457E-5	2.2113E-5	9.1991E-6	8.0675E-6
4.1458E+1	2.4855E+1	3.4259E+0	1.0135E-2	1.0195E-4	2.0325E-5	3.2846E-6	5.8612E-6
4.2923E+1	2.4857E+1	3.3069E+0	9.6917E-3	9.5996E-5	2.5976E-5	5.2918E-6	2.5791E-6
4.4439E+1	2.4857E+1	3.2083E+0	9.9046E-3	9.9018E-5	2.2229E-5	2.9164E-6	7.6031E-6
4.6009E+1	2.4858E+1	3.1022E+0	1.0208E-2	1.0251E-4	2.0847E-5	4.6948E-6	6.7244E-6
4.7634E+1	2.4860E+1	2.9880E+0	9.5069E-3	9.6888E-5	7.4133E-6	1.8795E-6	1.0145E-5
4.9316E+1	2.4861E+1	2.9002E+0	1.0733E-2	9.8090E-5	3.7388E-5	6.1303E-6	3.3541E-5
5.1058E+1	2.4862E+1	2.7985E+0	1.1548E-2	1.0385E-4	5.1001E-5	1.3930E-6	2.6681E-5
5.2862E+1	2.4861E+1	2.6995E+0	1.0051E-2	1.0210E-4	8.4236E-6	2.6549E-6	1.3035E-5
5.4729E+1	2.4862E+1	2.6052E+0	9.6825E-3	9.5363E-5	2.7389E-5	4.4329E-6	6.5022E-6
5.6662E+1	2.4862E+1	2.5228E+0	1.0146E-2	1.0186E-4	2.1357E-5	5.9352E-6	3.0647E-6
5.8663E+1	2.4865E+1	2.4458E+0	1.0144E-2	1.0108E-4	2.3679E-5	8.7340E-6	4.3128E-6
6.0735E+1	2.4865E+1	2.3656E+0	9.4416E-3	9.1211E-5	2.4498E-5	2.2011E-5	4.1533E-6
6.2881E+1	2.4866E+1	2.2876E+0	1.0528E-2	1.0194E-4	2.1295E-5	2.9125E-5	4.6498E-6
6.5102E+1	2.4867E+1	2.2046E+0	1.0355E-2	1.0169E-4	2.6731E-5	1.6166E-5	3.6391E-6
6.7401E+1	2.4867E+1	2.1359E+0	9.9183E-3	1.0001E-4	1.6738E-5	8.4860E-6	6.2954E-6
6.9782E+1	2.4868E+1	2.0636E+0	8.2319E-3	8.0282E-5	2.5298E-5	1.1088E-6	8.6258E-6
7.2247E+1	2.4868E+1	1.9943E+0	7.0862E-3	6.9616E-5	2.0426E-5	5.0853E-6	4.0668E-6
7.4799E+1	2.4869E+1	1.9258E+0	9.7910E-3	9.9688E-5	1.2759E-5	4.5969E-6	2.4752E-6
7.7441E+1	2.4870E+1	1.8625E+0	1.2267E-2	1.2271E-4	2.8649E-5	2.6310E-6	3.6376E-6
8.0176E+1	2.4870E+1	1.8004E+0	1.3003E-2	1.3260E-4	1.5714E-5	4.0068E-6	3.8773E-6
8.3008E+1	2.4871E+1	1.7413E+0	9.1902E-3	8.4623E-5	4.1632E-5	4.7101E-6	3.2413E-6
8.5940E+1	2.4871E+1	1.6822E+0	1.1533E-2	1.1133E-4	3.7940E-5	1.3502E-5	6.4913E-6
8.8976E+1	2.4872E+1	1.6266E+0	9.4781E-3	9.5166E-5	1.2499E-5	1.5449E-5	6.3543E-6
9.2118E+1	2.4872E+1	1.5712E+0	8.7850E-3	8.8433E-5	1.6677E-5	3.1279E-6	6.7613E-6
9.5372E+1	2.4873E+1	1.5193E+0	1.0582E-2	1.0599E-4	2.2366E-5	3.8529E-6	9.0680E-6
9.8741E+1	2.4873E+1	1.4678E+0	1.0086E-2	1.0046E-4	2.2419E-5	1.7872E-6	1.2288E-5
1.0223E+2	2.4873E+1	1.4189E+0	9.5277E-3	9.6909E-5	1.3389E-5	1.7678E-6	4.0503E-6
1.0584E+2	2.4874E+1	1.3706E+0	9.6630E-3	9.6431E-5	2.3768E-5	8.5827E-7	9.3306E-7
1.0958E+2	2.4874E+1	1.3244E+0	1.0859E-2	1.0779E-4	2.6637E-5	1.4837E-6	1.1366E-5
1.1345E+2	2.4875E+1	1.2806E+0	9.6555E-3	9.5852E-5	2.3024E-5	2.4288E-6	1.1281E-5
1.1746E+2	2.4875E+1	1.2374E+0	1.1681E-2	1.1707E-4	2.4569E-5	8.1872E-6	6.4275E-6
1.2160E+2	2.4876E+1	1.1946E+0	1.0330E-2	1.0336E-4	2.2932E-5	5.0357E-6	6.3546E-6
1.2590E+2	2.4876E+1	1.1533E+0	1.0012E-2	1.0103E-4	1.6462E-5	3.4595E-6	9.9777E-6
