%	Date:	2006-06-01	Time:	03:34:52
%	Sampling frequency		[Hz]:	199000
%	Generator amplitude		[V]:	0.12500
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[EU RMS]	[EU RMS]	[EU RMS]	[EU RMS]
2.0000E+1	2.4812E+1	6.9708E+0	1.6977E-2	2.5650E-4	5.8821E-6	1.7782E-6	6.3847E-6
2.0706E+1	2.4815E+1	6.7387E+0	1.6512E-2	2.4953E-4	5.1062E-6	1.0775E-6	4.6476E-6
2.1438E+1	2.4818E+1	6.5145E+0	1.6550E-2	2.5007E-4	7.0786E-6	3.3899E-6	2.1491E-6
2.2195E+1	2.4821E+1	6.2975E+0	1.5061E-2	2.2754E-4	7.7417E-6	3.7418E-6	7.4616E-7
2.2979E+1	2.4824E+1	6.0878E+0	1.4940E-2	2.2578E-4	4.3639E-6	3.4871E-6	2.0381E-6
2.3791E+1	2.4827E+1	5.8851E+0	2.3242E-2	3.5117E-4	1.1774E-5	1.5508E-6	1.7341E-6
2.4631E+1	2.4829E+1	5.6891E+0	9.0343E-3	1.3628E-4	6.3006E-6	6.1229E-6	2.1722E-6
2.5501E+1	2.4832E+1	5.5002E+0	2.0103E-2	3.0381E-4	5.6359E-6	5.9737E-6	2.1632E-6
2.6402E+1	2.4834E+1	5.3167E+0	1.7290E-2	2.6127E-4	6.0476E-6	4.7177E-6	2.8295E-6
2.7334E+1	2.4836E+1	5.1396E+0	1.2770E-2	1.9283E-4	8.3992E-6	3.0102E-6	2.5608E-6
2.8300E+1	2.4838E+1	4.9687E+0	1.4639E-2	2.2112E-4	7.1571E-6	2.3347E-6	5.3494E-6
2.9299E+1	2.4840E+1	4.8033E+0	1.4677E-2	2.2005E-4	7.8473E-6	3.5376E-6	2.7240E-5
3.0334E+1	2.4842E+1	4.6435E+0	1.6676E-2	2.5026E-4	7.5873E-6	1.4576E-6	2.9577E-5
3.1406E+1	2.4844E+1	4.4889E+0	1.5840E-2	2.3895E-4	1.7728E-6	1.9467E-6	1.5593E-5
3.2515E+1	2.4845E+1	4.3395E+0	1.5946E-2	2.4085E-4	9.8422E-6	2.5151E-6	1.6493E-6
3.3664E+1	2.4847E+1	4.1953E+0	1.5542E-2	2.3493E-4	3.3820E-6	2.0397E-6	2.0028E-6
3.4853E+1	2.4848E+1	4.0558E+0	1.5481E-2	2.3379E-4	5.0061E-6	6.9577E-6	7.0417E-6
3.6084E+1	2.4850E+1	3.9206E+0	1.5587E-2	2.3382E-4	5.4993E-6	2.8883E-5	3.5102E-7
3.7358E+1	2.4851E+1	3.7906E+0	1.5946E-2	2.3886E-4	5.8785E-6	3.1891E-5	4.0859E-6
3.8678E+1	2.4853E+1	3.6631E+0	1.5693E-2	2.3563E-4	8.9214E-6	2.5746E-5	5.4541E-6
4.0044E+1	2.4854E+1	3.5437E+0	1.5384E-2	2.3220E-4	6.4851E-6	1.0722E-5	4.6607E-6
4.1458E+1	2.4855E+1	3.4221E+0	1.5517E-2	2.3457E-4	2.3748E-6	1.9224E-6	1.7852E-6
4.2923E+1	2.4856E+1	3.3102E+0	1.5290E-2	2.3098E-4	7.7762E-6	1.1643E-6	4.7227E-6
4.4439E+1	2.4858E+1	3.1991E+0	1.6028E-2	2.4224E-4	2.8855E-6	3.6263E-6	3.3989E-6
4.6009E+1	2.4859E+1	3.0932E+0	1.5930E-2	2.4073E-4	5.9881E-6	3.4415E-6	1.6542E-6
4.7634E+1	2.4859E+1	2.9889E+0	1.6188E-2	2.4394E-4	1.5206E-5	4.7975E-6	1.1565E-5
4.9316E+1	2.4861E+1	2.8864E+0	1.5739E-2	2.3341E-4	3.5020E-5	5.9696E-6	2.9742E-5
5.1058E+1	2.4861E+1	2.7898E+0	1.5961E-2	2.3776E-4	3.4911E-5	2.4358E-6	2.1844E-5
5.2862E+1	2.4862E+1	2.7088E+0	1.5075E-2	2.2709E-4	1.8099E-5	3.6238E-6	5.8402E-6
