%	Date:	2006-06-01	Time:	03:41:27
%	Sampling frequency		[Hz]:	199000
%	Generator amplitude		[V]:	0.44100
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[EU RMS]	[EU RMS]	[EU RMS]	[EU RMS]
2.0000E+1	2.4812E+1	6.9685E+0	3.1410E-2	1.6596E-3	8.5424E-5	2.1298E-4	2.5366E-5
2.0706E+1	2.4815E+1	6.7364E+0	3.1070E-2	1.6430E-3	9.5111E-5	1.9493E-4	3.0666E-5
2.1438E+1	2.4818E+1	6.5122E+0	3.0690E-2	1.6233E-3	9.6246E-5	1.8795E-4	2.8668E-5
2.2195E+1	2.4821E+1	6.2953E+0	3.0080E-2	1.5914E-3	8.9606E-5	1.8305E-4	2.8802E-5
2.2979E+1	2.4824E+1	6.0856E+0	2.9214E-2	1.5446E-3	9.4816E-5	1.8243E-4	3.1221E-5
2.3791E+1	2.4827E+1	5.8830E+0	3.1077E-2	1.6455E-3	9.0743E-5	1.7796E-4	2.8396E-5
2.4631E+1	2.4829E+1	5.6873E+0	3.0146E-2	1.5951E-3	9.7920E-5	1.7828E-4	2.5606E-5
2.5501E+1	2.4832E+1	5.4979E+0	3.2612E-2	1.7287E-3	9.5400E-5	1.6831E-4	2.7052E-5
2.6402E+1	2.4834E+1	5.3149E+0	3.2070E-2	1.7000E-3	9.0130E-5	1.6724E-4	3.1365E-5
2.7334E+1	2.4836E+1	5.1380E+0	2.8780E-2	1.5230E-3	9.1143E-5	1.6866E-4	3.1948E-5
2.8300E+1	2.4838E+1	4.9669E+0	3.0559E-2	1.6189E-3	9.5602E-5	1.6495E-4	2.0593E-5
2.9299E+1	2.4840E+1	4.8015E+0	3.0134E-2	1.5955E-3	9.1689E-5	1.6661E-4	5.0299E-5
3.0334E+1	2.4842E+1	4.6417E+0	2.9839E-2	1.5788E-3	9.7866E-5	1.6705E-4	6.2776E-5
3.1406E+1	2.4844E+1	4.4873E+0	2.9968E-2	1.5865E-3	9.8101E-5	1.6446E-4	4.5714E-5
3.2515E+1	2.4845E+1	4.3380E+0	2.9740E-2	1.5748E-3	9.6769E-5	1.6434E-4	2.8801E-5
3.3664E+1	2.4847E+1	4.1937E+0	2.9882E-2	1.5828E-3	9.7416E-5	1.6121E-4	2.4653E-5
3.4853E+1	2.4848E+1	4.0543E+0	2.9650E-2	1.5697E-3	9.6073E-5	1.6671E-4	3.1667E-5
3.6084E+1	2.4850E+1	3.9194E+0	2.9845E-2	1.5793E-3	9.7293E-5	1.7464E-4	2.7325E-5
3.7358E+1	2.4851E+1	3.7892E+0	2.9535E-2	1.5663E-3	9.5443E-5	1.3846E-4	2.9717E-5
3.8678E+1	2.4853E+1	3.6631E+0	2.9785E-2	1.5802E-3	9.1187E-5	1.3612E-4	2.6738E-5
4.0044E+1	2.4854E+1	3.5417E+0	2.9628E-2	1.5693E-3	9.3145E-5	1.6087E-4	3.0585E-5
4.1458E+1	2.4855E+1	3.4238E+0	2.9661E-2	1.5715E-3	9.6496E-5	1.5478E-4	3.0398E-5
4.2923E+1	2.4856E+1	3.3108E+0	2.9616E-2	1.5692E-3	9.8014E-5	1.5249E-4	2.9803E-5
4.4439E+1	2.4857E+1	3.1984E+0	2.9602E-2	1.5680E-3	9.2905E-5	1.6056E-4	2.6910E-5
4.6009E+1	2.4858E+1	3.0918E+0	2.9695E-2	1.5726E-3	1.0482E-4	1.5580E-4	3.5040E-5
4.7634E+1	2.4859E+1	2.9921E+0	2.9472E-2	1.5613E-3	8.9646E-5	1.5879E-4	3.1641E-5
4.9316E+1	2.4860E+1	2.8906E+0	2.9491E-2	1.5628E-3	7.6707E-5	1.5799E-4	4.4336E-5
