%	Date:	2006-06-01	Time:	03:37:43
%	Sampling frequency		[Hz]:	199000
%	Generator amplitude		[V]:	0.21400
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[EU RMS]	[EU RMS]	[EU RMS]	[EU RMS]
2.0000E+1	2.4812E+1	6.9692E+0	2.4779E-2	6.4025E-4	2.5118E-5	2.7961E-5	2.3862E-6
2.0706E+1	2.4815E+1	6.7369E+0	2.4396E-2	6.3006E-4	2.8932E-5	2.9289E-5	8.5335E-6
2.1438E+1	2.4819E+1	6.5128E+0	2.4317E-2	6.2801E-4	3.2263E-5	2.6300E-5	4.8179E-6
2.2195E+1	2.4822E+1	6.2959E+0	2.3155E-2	5.9827E-4	2.9666E-5	1.9770E-5	4.1357E-6
2.2979E+1	2.4824E+1	6.0864E+0	2.3131E-2	5.9734E-4	3.1721E-5	2.4234E-5	6.2486E-6
2.3791E+1	2.4827E+1	5.8835E+0	2.7729E-2	7.1681E-4	3.0311E-5	1.9526E-5	4.4563E-6
2.4631E+1	2.4830E+1	5.6876E+0	1.9093E-2	4.9261E-4	3.1185E-5	2.3995E-5	4.7211E-6
2.5501E+1	2.4832E+1	5.4983E+0	2.5546E-2	6.6030E-4	2.5506E-5	2.1845E-5	8.5585E-6
2.6402E+1	2.4834E+1	5.3153E+0	2.3920E-2	6.1815E-4	2.9040E-5	1.8914E-5	3.8890E-6
2.7334E+1	2.4836E+1	5.1383E+0	2.1247E-2	5.4877E-4	3.0982E-5	1.7794E-5	5.1443E-6
2.8300E+1	2.4838E+1	4.9673E+0	2.2670E-2	5.8576E-4	2.6879E-5	2.1736E-5	2.5931E-6
2.9299E+1	2.4840E+1	4.8020E+0	2.2666E-2	5.8492E-4	3.2440E-5	1.5737E-5	2.7456E-5
3.0334E+1	2.4842E+1	4.6421E+0	2.3459E-2	6.0515E-4	2.9301E-5	1.7392E-5	3.6425E-5
3.1406E+1	2.4844E+1	4.4878E+0	2.3121E-2	5.9760E-4	2.5577E-5	1.1533E-5	1.5587E-5
3.2515E+1	2.4846E+1	4.3386E+0	2.2938E-2	5.9273E-4	2.8451E-5	1.7824E-5	7.4252E-6
3.3664E+1	2.4847E+1	4.1941E+0	2.3250E-2	6.0100E-4	2.6411E-5	1.3844E-5	7.0492E-6
3.4853E+1	2.4849E+1	4.0545E+0	2.3049E-2	5.9551E-4	3.1979E-5	1.6080E-5	2.5742E-6
3.6084E+1	2.4850E+1	3.9196E+0	2.3117E-2	5.9771E-4	2.4162E-5	1.1081E-5	6.3586E-6
3.7358E+1	2.4851E+1	3.7895E+0	2.2913E-2	5.9014E-4	2.8845E-5	5.1181E-5	5.1317E-6
3.8678E+1	2.4853E+1	3.6629E+0	2.2834E-2	5.8890E-4	2.8858E-5	4.0513E-5	5.3759E-6
4.0044E+1	2.4854E+1	3.5424E+0	2.2830E-2	5.8983E-4	3.3162E-5	1.1261E-5	7.3781E-6
4.1458E+1	2.4855E+1	3.4226E+0	2.3000E-2	5.9466E-4	2.4137E-5	1.3178E-5	5.8611E-6
4.2923E+1	2.4856E+1	3.3103E+0	2.2693E-2	5.8617E-4	3.2386E-5	1.7308E-5	8.0592E-6
4.4439E+1	2.4858E+1	3.1980E+0	2.2818E-2	5.8961E-4	2.8480E-5	1.8669E-5	4.3905E-6
4.6009E+1	2.4859E+1	3.0913E+0	2.2646E-2	5.8557E-4	1.7934E-5	1.8679E-5	3.5511E-6
4.7634E+1	2.4859E+1	2.9910E+0	2.3029E-2	5.9430E-4	3.9941E-5	1.9247E-5	1.2149E-5
4.9316E+1	2.4860E+1	2.8874E+0	2.2765E-2	5.8526E-4	6.0462E-5	1.4337E-5	2.8814E-5
5.1058E+1	2.4861E+1	2.7934E+0	2.2966E-2	5.9344E-4	9.3946E-6	2.0950E-5	2.5654E-5
5.2862E+1	2.4863E+1	2.7045E+0	2.2735E-2	5.8588E-4	5.0896E-5	1.7512E-5	1.1366E-5
5.4729E+1	2.4863E+1	2.6155E+0	2.2796E-2	5.8925E-4	2.3967E-5	1.8000E-5	6.5682E-6
5.6662E+1	2.4864E+1	2.5273E+0	2.2663E-2	5.8551E-4	2.7763E-5	2.1846E-5	6.0567E-6
5.8663E+1	2.4865E+1	2.4396E+0	2.2791E-2	5.8905E-4	2.9294E-5	9.1790E-6	8.0625E-6
6.0735E+1	2.4866E+1	2.3586E+0	2.2723E-2	5.8581E-4	3.0402E-5	4.2394E-5	5.1401E-6
6.2881E+1	2.4866E+1	2.2802E+0	2.2595E-2	5.8301E-4	3.2085E-5	3.2989E-5	3.6959E-6
6.5102E+1	2.4867E+1	2.2064E+0	2.2529E-2	5.8154E-4	3.1003E-5	2.9266E-5	5.7176E-6
6.7401E+1	2.4868E+1	2.1313E+0	2.2502E-2	5.8115E-4	3.1109E-5	2.1973E-5	7.0361E-6
6.9782E+1	2.4868E+1	2.0610E+0	2.3374E-2	6.0401E-4	2.9764E-5	1.4599E-5	9.4934E-6
7.2247E+1	2.4869E+1	1.9920E+0	2.3831E-2	6.1569E-4	3.3728E-5	1.5971E-5	2.4581E-6
7.4799E+1	2.4870E+1	1.9267E+0	2.2943E-2	5.9238E-4	3.4784E-5	2.2510E-5	3.8433E-6
7.7441E+1	2.4870E+1	1.8621E+0	2.1729E-2	5.6140E-4	3.0160E-5	1.1576E-5	1.0519E-5
8.0176E+1	2.4871E+1	1.8001E+0	2.1754E-2	5.6027E-4	5.3752E-5	1.6025E-5	2.9253E-6
8.3008E+1	2.4871E+1	1.7399E+0	2.3307E-2	6.0194E-4	3.5900E-5	1.6501E-5	5.4374E-6
8.5940E+1	2.4872E+1	1.6815E+0	2.2443E-2	5.8041E-4	1.7312E-5	1.4147E-5	7.5339E-6
8.8976E+1	2.4872E+1	1.6254E+0	2.2221E-2	5.7366E-4	3.5970E-5	1.9707E-5	6.7826E-6
9.2118E+1	2.4873E+1	1.5710E+0	2.2316E-2	5.7600E-4	4.0453E-5	1.1510E-5	1.0122E-5
9.5372E+1	2.4873E+1	1.5181E+0	2.2255E-2	5.7489E-4	3.2080E-5	1.3243E-5	1.0361E-5
